SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.2623832783	0.2293240501	0.2673557208	0.2673557208	0.2283203484	0.175352019	0.2203684713	0.2203684713	0.1823376233	0.2233832783	0.230352019	0.2673557208	0.2263540755	0.2283540755	0.1753355667	0.2673557208	0.223357366	0.2263705278	0.2673557208	0.2203701165	0.2223544868	0.2203824557	0.1813524303	0.2233544868	0.2673548981	0.175352019	0.181337212	0.1833540755	0.2293215823	0.2283203484	0.2273219936	0.181337212	0.025923008	0.025923008	0.026911719	0.026911719	0.024899784	0.025911396	0.068914299	0.068914299	0.025900752	0.026903977	0.026902687	0.026911719	0.023911719	0.026901397	0.025923008	0.026911719	0.023911073	-0.018087959	0.026911719	0.023900429	0.022899461	0.07090301	0.066925266	0.027912041	0.022889462	0.025911396	0.024923008	0.026923331	0.023899139	0.024899784	0.023900107	0.024923008	-0.342	-0.354	-0.34	-0.34	-0.354	-0.375	-0.363	-0.363	-0.373	-0.357	-0.355	-0.34	-0.355	-0.355	-0.375	-0.34	-0.356	-0.351	-0.34	-0.358	-0.357	-0.363	-0.377	-0.357	-0.34	-0.375	-0.373	-0.372	-0.355	-0.354	-0.355	-0.373
FLQS30KBGRWV	-0.1207317613	-0.1248092081	-0.0747679864	-0.0747679864	-0.0788179521	-0.075720519	-0.0796705533	-0.0796705533	-0.1187692356	-0.1246805465	-0.0837305122	-0.0747679864	-0.0757679864	-0.0817704847	-0.1227717339	-0.0747679864	-0.0787604916	-0.0756655567	-0.0747679864	-0.0787230173	-0.0747667373	-0.120676799	-0.1207230173	-0.1628229487	-0.0797692356	-0.075720519	-0.0727667373	-0.121720519	-0.0768142047	-0.0788179521	-0.0798117064	-0.0727667373	-0.00994948200002	-0.054949324	-0.00994649500001	-0.00994649500001	-0.00894390100001	-0.00794657299997	-0.054943901	-0.054943901	-0.052943901	-0.056941307	-0.00894445099999	-0.00994649500001	-0.00994672999997	-0.052944058	-0.00994940300001	-0.00994649500001	-0.010946652	-0.05494673	-0.00994649500001	-0.010943979	-0.00994382200003	-0.055941228	-0.00994665200002	-0.00994657299998	-0.00994130699999	-0.00794657299997	-0.00994940300001	-0.055949403	-0.00794382200002	-0.00894390100001	-0.00894397900001	-0.00994940300001	-0.104	-0.101	-0.086	-0.086	-0.088	-0.086	-0.084	-0.084	-0.099	-0.101	-0.09	-0.086	-0.086	-0.085	-0.105	-0.086	-0.088	-0.082	-0.086	-0.088	-0.086	-0.099	-0.105	-0.12	-0.089	-0.086	-0.085	-0.1	-0.088	-0.088	-0.0880000000001	-0.085
FLQS30CWGRWV	0.1087953625	0.1027813719	0.0057891972	0.0057891972	0.0127808976	0.0608100646	0.100809116	0.100809116	0.0997887229	0.060809116	0.00978801150001	0.0057891972	0.00878896	0.0527884858	0.0107887229	0.0057891972	-0.0302081944	0.0567986823	0.0057891972	0.0607991566	0.0117901457	0.0588086418	0.0578095903	0.1488112502	0.05478896	0.0608100646	0.0527894343	0.0118005794	0.0077806605	0.0127808976	0.1157707011	0.0527894343	0.025420995	0.076430922	0.029413602	0.029413602	0.077416348	0.033424586	0.079416771	0.079416771	0.078416559	0.078410223	0.032408744	0.029413602	0.076423952	0.076416771	0.03042184	0.029413602	0.03342353	0.077424375	0.029413602	0.078416982	0.032416137	0.0314098	0.078423952	0.076423952	0.0774098	0.033424586	0.077431767	0.078431767	0.077416137	0.077416348	0.076415926	0.077431767	0.158	0.151	0.118	0.118	0.116	0.138	0.15	0.15	0.15	0.134	0.119	0.118	0.115	0.131	0.12	0.118	0.105	0.133	0.118	0.135	0.12	0.138	0.133	0.169	0.133	0.138	0.132	0.116	0.114	0.116	0.156	0.132
FLQS30C7GRWV	0.1124130709	0.1893816514	0.1133596578	0.1133596578	0.1123350458	0.1093957902	0.1224020741	0.1224020741	0.1604036451	0.1114146419	0.1513957902	0.1133596578	0.1513800805	0.1243816514	0.1133978848	0.1133596578	0.1504015505	0.1214020741	0.1133596578	0.1123973612	0.1523984085	0.1114115	0.1203999795	0.1183800805	0.1143779858	0.1093957902	0.1523790331	0.1113963139	0.1593622761	0.1123350458	0.1183622761	0.1523790331	-0.00931361900001	-0.01331373	-0.051317865	-0.051317865	-0.01031759	-0.00931566	-0.05331985	-0.05331985	-0.055319961	-0.009319299	-0.01131952	-0.051317865	-0.053317865	-0.051319685	-0.00831361900001	-0.051317865	-0.01131566	-0.052317865	-0.051317865	-0.008317479	-0.01231759	-0.00631940900001	-0.05131781	-0.00931554900001	-0.00831929899999	-0.00931566	-0.05231588	-0.010313674	-0.05131985	-0.01031759	-0.052319795	-0.05231588	0.108	0.139	0.113	0.113	0.108	0.108	0.117	0.117	0.131	0.108	0.124	0.113	0.128	0.118	0.108	0.113	0.123	0.116	0.113	0.108	0.124	0.108	0.116	0.111	0.109	0.108	0.128	0.108	0.131	0.108	0.114	0.128
FLQS29JFGRX5	-0.0105721044	-0.0155865636	-0.0085811596	-0.0085811596	-0.0535938662	-0.0095761939	-0.0105760478	-0.0105760478	-0.00958101360001	-0.0495775083	-0.0065813057	-0.0085811596	-0.010582182	-0.0125813057	-0.0525767781	-0.0085811596	-0.0115813057	-0.010576632	-0.0085811596	-0.049582182	-0.0545881702	-0.0485772162	-0.0145769241	-0.0135811596	-0.0155815978	-0.0095761939	-0.008582182	-0.012576632	-0.0145870017	-0.0535938662	-0.00658685570001	-0.008582182	0.019924269	0.019924347	0.018921367	0.018921367	0.020918621	0.019921367	0.020918856	0.020918856	0.0199187	0.017916033	-0.024087654	0.018921367	0.018921288	0.018918778	-0.023075966	0.018921367	0.019921602	0.018921367	0.018921367	0.017918621	0.020918778	0.018916033	0.017921523	0.019921367	0.020916111	0.019921367	0.017924034	0.019924347	0.0199187	0.020918621	0.019918778	0.017924034	-0.11	-0.112	-0.109	-0.109	-0.127	-0.11	-0.111	-0.111	-0.111	-0.125	-0.105	-0.109	-0.11	-0.112	-0.122	-0.109	-0.111	-0.111	-0.109	-0.126	-0.128	-0.125	-0.111	-0.112	-0.113	-0.11	-0.11	-0.111	-0.112	-0.127	-0.109	-0.11
FLQS22XEGRX2	0.0042692563	0.0482457315	0.0052534897	0.0052534897	0.0242472331	0.00226299969999	0.0112632499	0.0112632499	0.009254741	0.0072697568	0.0062527389	0.0052534897	0.0112544907	0.00725373989999	0.0072629997	0.0052534897	0.0152559923	0.0102635002	0.0052534897	-0.0017380014	0.0092529891	0.0042692563	0.0142635002	0.00725373989999	0.0082534897	0.00226299969999	0.0052532394	0.0142640007	0.0072447305	0.0242472331	0.00224448020001	0.0052532394	-0.011176191	-0.00917636600002	-0.011173222	-0.011173222	-0.00317077599999	0.030826953	-0.055166409	-0.055166409	-0.055166321	-0.00916736900001	-0.01116702	-0.011173222	-0.053169466	-0.00917042700002	-0.011176279	-0.011173222	-0.055169291	-0.055169466	-0.011173222	0.032829748	-0.00917007700002	-0.010167195	-0.052169466	-0.012173222	-0.057163264	0.030826953	-0.00917636600002	-0.05317261	-0.012170164	-0.00317077599999	-0.01316999	-0.00917636600002	-0.013	0.00399999999999	-0.013	-0.013	-0.00600000000003	-0.018	-0.00600000000003	-0.00600000000003	-0.00700000000001	-0.012	-0.012	-0.013	-0.00599999999997	-0.012	-0.012	-0.013	-0.00399999999999	-0.00600000000003	-0.013	-0.019	-0.011	-0.013	-0.005	-0.011	-0.006	-0.018	-0.013	-0.005	-0.012	-0.00600000000003	-0.013	-0.013
FLQS22TQGRX2	-0.0920873236	-0.0511032788	-0.0440967372	-0.0440967372	-0.0531051934	-0.0830976945	-0.0500858877	-0.0500858877	-0.0520978541	-0.049086845	-0.0510984923	-0.0440967372	-0.0500978541	0.0239080494	-0.0790898765	-0.0440967372	-0.0520976945	-0.0500916315	-0.0440967372	-0.0210873236	-0.0580994496	-0.0080871641	-0.0870924293	-0.0500913124	-0.0530986518	-0.0830976945	-0.0490976945	-0.0500917911	-0.0511042361	-0.0531051934	-0.0851098205	-0.0490976945	-0.00844299400001	-0.00944299399998	-0.050435469	-0.050435469	-0.00943585500002	-0.047435662	-0.010436048	-0.010436048	-0.009436241	-0.00643305700001	-0.00843257499997	-0.050435469	-0.00743971400001	-0.012436048	-0.048439039	-0.050435469	-0.00843971399999	-0.00743971400001	-0.050435469	0.033559707	0.029560093	-0.008432865	-0.00543981100003	-0.00643971400001	-0.008432865	-0.047435662	-0.00844299400001	-0.008443091	-0.00943604799997	-0.00943585500002	-0.008436241	-0.00844299400001	-0.163	-0.147	-0.141	-0.141	-0.148	-0.156	-0.147	-0.147	-0.148	-0.147	-0.148	-0.141	-0.147	-0.119	-0.154	-0.141	-0.148	-0.147	-0.141	-0.14	-0.154	-0.131	-0.162	-0.147	-0.149	-0.156	-0.147	-0.147	-0.148	-0.148	-0.161	-0.147
FLQS21YXGRX2	0.00116084250001	0.0481622884	0.0061614525	0.0061614525	0.0491625143	0.0521606617	0.0491607069	0.0491607069	0.0071614751	0.0511598258	0.0501615654	0.0061614525	0.00516246909999	0.00816249170001	0.0451605714	0.0061614525	0.0031613621	0.0431607069	0.0061614525	0.0491606166	0.0051614751	0.0461600066	0.0441607069	0.0481615202	0.0501615202	0.0521606617	0.0471615654	0.0511606843	0.0461624465	0.0491625143	0.0031633502	0.0471615654	-0.007173088	-0.00917273899998	-0.00916968000001	-0.00916968000001	-0.00516653299997	-0.00616976699999	-0.00916670800001	-0.00916670800001	-0.00916670800001	-0.00816356200002	-0.010163387	-0.00916968000001	-0.01016968	-0.00616697000001	-0.010172651	-0.00916968000001	-0.00916959200001	-0.011169592	-0.00916968000001	-0.00816662100002	-0.00916653299998	-0.00916356200003	-0.00816985500001	-0.00716968	-0.006163649	-0.00616976699999	-0.010172651	-0.00617291400002	-0.00916653299998	-0.00516653299997	-0.010166708	-0.010172651	0.054	0.072	0.057	0.057	0.072	0.074	0.073	0.073	0.057	0.073	0.073	0.057	0.056	0.057	0.071	0.057	0.055	0.07	0.057	0.072	0.056	0.071	0.071	0.072	0.072	0.074	0.072	0.073	0.071	0.072	0.055	0.072
FLQS2AVTGRX5	-0.0630442845	-0.1110298337	-0.1080351505	-0.1080351505	-0.1440288794	-0.108039922	-0.0660397857	-0.0660397857	-0.0680351505	-0.1040446935	-0.0680343326	-0.1080351505	-0.1070346052	-0.0690343326	-0.0660456478	-0.1080351505	-0.1030359685	-0.0670452388	-0.1080351505	-0.0660400584	-0.1030352869	-0.0650441482	-0.0670452388	-0.0640404673	-0.0690344689	-0.108039922	-0.1100344689	-0.0670397857	-0.0710294247	-0.1440288794	-0.0700298337	-0.1100344689	0.00660753899999	0.00860763399999	0.00760587899998	0.00760587899998	0.00560421799997	0.00760583100001	0.007604265	0.007604265	0.00860435999999	0.00860265200001	0.007602558	0.00760587899998	0.007605926	0.008604408	0.006607492	0.00760587899998	0.008605926	0.00660592599999	0.00760587899998	0.00660426499999	0.010604218	0.00860260500002	0.00860597299999	0.00660597299998	0.00860269999998	0.00760583100001	0.00760758600001	0.00760758600001	0.00960431299998	0.00560421799997	0.00660426499999	0.00760758600001	-0.057	-0.076	-0.074	-0.074	-0.0880000000001	-0.075	-0.059	-0.059	-0.059	-0.073	-0.059	-0.074	-0.074	-0.059	-0.058	-0.074	-0.073	-0.059	-0.074	-0.058	-0.073	-0.058	-0.059	-0.058	-0.059	-0.075	-0.075	-0.059	-0.06	-0.0880000000001	-0.06	-0.075
FLQS3087GRWV	0.451403015	0.3243674108	0.3151229459	0.3151229459	0.3802631991	0.2411750518	0.3023704488	0.3023704488	0.3031099195	0.3026114385	0.353403015	0.3151229459	0.2125432681	0.2298754431	0.4320513004	0.3151229459	0.2471945915	0.2530773533	0.3151229459	0.2744355811	0.2651424856	0.271403015	0.3003704488	0.2818689298	0.1679470886	0.2411750518	0.3804911623	0.365709137	0.2173218182	0.3802631991	0.3696214269	0.3804911623	-0.065399969	-0.053400124	-0.05040108	-0.05040108	-0.065401777	-0.065400873	-0.001401958	-0.001401958	-0.003401932	-0.002402862	0.010597319	-0.05040108	-0.00240102799998	-0.067401829	-0.03139909	-0.05040108	-0.005401105	-0.005401054	-0.05040108	-0.097403224	-0.050402061	0.00759731899998	-0.003401002	-0.048401028	0.00559731899997	-0.065400873	-0.065399969	-0.050400175	-0.002402061	-0.065401777	-0.003401932	-0.065399969	0.068	0.018	0.014	0.014	0.041	-0.013	0.00399999999996	0.00399999999996	0.00399999999999	0.00400000000002	0.022	0.014	-0.03	-0.017	0.057	0.014	-0.017	-0.014	0.014	0.00299999999999	-0.005	-0.00900000000001	0.00399999999999	0.000999999999976	-0.049	-0.013	0.041	0.033	-0.028	0.041	0.03	0.041
FLQS2044GRWY	-0.0076500574	0.0333596996	0.0243549736	0.0243549736	-0.0066328302	-0.0146445691	-0.0136451789	-0.0136451789	-0.0096396906	-0.0136492951	-0.0116387758	0.0243549736	-0.0066399955	0.0293546687	-0.0106451789	0.0243549736	0.031353754	-0.0106451789	0.0243549736	-0.0106450264	-0.0086393857	-0.0116497525	-0.0096451789	-0.0096393857	-0.0056396906	-0.0146445691	0.0273546687	-0.010644874	-0.00763374489999	-0.0066328302	0.0283661027	0.0273546687	0.01354512	0.011545217	0.011541521	0.011541521	0.00953792299998	0.012541424	0.010538312	0.010538312	0.011538215	0.00953481100001	0.011534519	0.011541521	0.010541619	0.010538215	0.01254512	0.011541521	0.008541716	0.010541619	0.011541521	0.011538215	0.011538118	0.00953471399998	0.010541813	0.011541424	0.011534908	0.012541424	0.010545023	0.00954502299999	0.010537923	0.00953792299998	0.010538312	0.010545023	-0.015	0.0	-0.00200000000001	-0.00200000000001	-0.014	-0.017	-0.018	-0.018	-0.016	-0.017	-0.017	-0.00200000000001	-0.015	-0.000999999999976	-0.017	-0.00200000000001	0.0	-0.016	-0.00200000000001	-0.017	-0.016	-0.016	-0.016	-0.015	-0.014	-0.017	-0.001	-0.016	-0.015	-0.014	-0.001	-0.001
FLQS312SGRWV	0.0139829969	0.0579615695	0.0169673549	0.0169673549	0.059959641	0.0169748545	0.0239769972	0.0239769972	-0.017040359	0.0179827826	-0.0200418589	0.0169673549	0.0209598553	-0.0210412161	-0.0210328594	0.0169673549	0.0179694976	0.0079746402	0.0169673549	0.0199757116	0.0199677834	0.019982354	0.0549754973	-0.018040359	0.0179675691	0.0169748545	0.0159664978	0.0199754973	0.0599607124	0.059959641	0.0159514986	0.0159664978	-0.00449309200002	-0.00749308200002	-0.00649295799997	-0.00649295799997	-0.00549282999998	-0.00249296500002	-0.049492689	-0.049492689	-0.048492685	-0.00449272099999	-0.049492547	-0.00649295799997	-0.00349281300001	-0.00549284100001	-0.00349308900002	-0.00649295799997	-0.00649295799997	0.039507032	-0.00649295799997	-0.00249284399999	-0.00549282999998	-0.00149272099998	0.040507028	-0.049492806	-0.00449271700001	-0.00249296500002	-0.00449308500001	-0.00349309200001	-0.00449283399999	-0.00549282999998	-0.047492685	-0.00449308500001	-0.017	0.0	-0.016	-0.016	0.001	-0.017	-0.00900000000001	-0.00900000000001	-0.025	-0.015	-0.025	-0.016	-0.014	-0.031	-0.031	-0.016	-0.015	-0.024	-0.016	-0.015	-0.014	-0.015	-0.006	-0.025	-0.016	-0.017	-0.016	-0.015	0.0	0.001	-0.011	-0.016
FLQS31J6GRWY	-0.2559605075	-0.1840398897	-0.1859829874	-0.1859829874	-0.1860342698	-0.1529619125	-0.1909647225	-0.1909647225	-0.1449893099	-0.082937325	-0.1859605075	-0.1859829874	-0.1340216248	-0.0979928224	-0.1989942274	-0.1859829874	-0.1219815824	-0.2379949299	-0.1859829874	-0.1318979852	-0.0839872024	-0.2019717474	-0.18796121	-0.1909914174	-0.1469914174	-0.1529619125	-0.1360216248	-0.1799857974	-0.1790434022	-0.1860342698	-0.1820448072	-0.1360216248	0.00969946800001	0.065699305	0.069697873	0.069697873	0.00969660499999	0.005697873	0.065696401	0.065696401	0.064696401	0.00769509200001	0.079698037	0.069697873	0.064697873	0.062696401	0.00469926400001	0.069697873	-0.023302127	0.066697832	0.069697873	0.00569644200002	0.00469640099999	0.00569500999998	0.066697914	0.064697751	0.06269501	0.005697873	0.063699305	0.021697546	0.068696442	0.00969660499999	0.068696564	0.063699305	-0.142	-0.12	-0.122	-0.122	-0.116	-0.102	-0.123	-0.123	-0.105	-0.076	-0.123	-0.122	-0.101	-0.087	-0.12	-0.122	-0.0880000000001	-0.141	-0.122	-0.095	-0.075	-0.121	-0.122	-0.123	-0.106	-0.102	-0.101	-0.114	-0.119	-0.116	-0.12	-0.101
FLQS31FWGRWY	-0.0950295858	-0.0610126455	-0.0620189981	-0.0620189981	-0.0590111796	-0.0640317033	-0.0650295858	-0.0650295858	-0.0620238847	-0.0640344724	-0.096017695	-0.0620189981	-0.0590242105	-0.0610237219	-0.1040258394	-0.0620189981	-0.0990183466	-0.0610300744	-0.0620189981	-0.1230181837	-0.0570188353	-0.0640344724	-0.0620295858	-0.0580258394	-0.058023559	-0.0640317033	-0.0900188353	-0.0620290971	-0.060011994	-0.0590111796	-0.0590123198	-0.0900188353	0.018885031	0.015885031	0.018877914	0.018877914	0.058878561	0.016877914	0.016878653	0.016878653	0.015878468	0.015875418	0.015875048	0.018877914	0.017881611	0.016878653	0.019881242	0.018877914	0.018881981	0.016881611	0.018877914	-0.022121439	0.016874863	0.016875233	0.015881704	0.017877914	0.017875511	0.016877914	0.020885031	0.016884939	0.014878376	0.058878561	0.015878561	0.020885031	-0.075	-0.062	-0.062	-0.062	-0.065	-0.063	-0.064	-0.064	-0.062	-0.063	-0.075	-0.062	-0.061	-0.062	-0.079	-0.062	-0.077	-0.062	-0.062	-0.082	-0.061	-0.063	-0.062	-0.061	-0.061	-0.063	-0.074	-0.062	-0.062	-0.065	-0.061	-0.074
FLQS31CRGRWY	-0.0644143165	-0.0734074103	-0.0984102386	-0.0984102386	-0.0734069499	-0.0694120144	-0.0704124091	-0.0704124091	-0.0694100413	-0.0714141849	-0.1014097782	-0.0984102386	-0.0664097124	-0.0684099755	-0.0644123433	-0.0984102386	-0.0704102386	-0.0674122118	-0.0984102386	-0.1064117513	-0.073409252	-0.0684143822	-0.0664124091	-0.1014099097	-0.0724097124	-0.0694120144	-0.0654099097	-0.0664122118	-0.0724072788	-0.0734069499	-0.1084049768	-0.0654099097	-0.048015599	-0.010015484	-0.052014505	-0.052014505	-0.011014677	-0.011015714	-0.011013525	-0.011013525	-0.00901349599999	-0.011012575	-0.053012431	-0.052014505	-0.00801453299999	-0.010013583	-0.04801557	-0.052014505	-0.011014533	-0.010014533	-0.052014505	-0.012014735	-0.012014677	-0.052012517	-0.00801459100001	-0.050014533	-0.011012604	-0.011015714	-0.00801557	-0.00901554200001	-0.010013468	-0.011014677	-0.008013554	-0.00801557	-0.017	-0.025	-0.03	-0.03	-0.025	-0.023	-0.023	-0.023	-0.023	-0.024	-0.032	-0.03	-0.022	-0.023	-0.017	-0.03	-0.023	-0.023	-0.03	-0.037	-0.024	-0.018	-0.022	-0.031	-0.024	-0.023	-0.022	-0.022	-0.024	-0.025	-0.039	-0.022
FLQS319LGRWY	-0.2773392257	-0.2773710608	-0.2733604491	-0.2733604491	-0.2743748262	-0.2733494951	-0.2793491528	-0.2793491528	-0.3063604491	-0.2733381988	-0.2753621607	-0.2733604491	-0.2703597645	-0.2753611337	-0.2733477835	-0.2733604491	-0.2783607914	-0.2683470989	-0.2733604491	-0.2723491528	-0.2773621607	-0.2723385411	-0.3043477835	-0.2723597645	-0.2743604491	-0.2733494951	-0.2713597645	-0.2783494951	-0.2773737993	-0.2743748262	-0.2783741416	-0.2713597645	0.078137299	0.081137299	0.083133391	0.083133391	0.082129375	0.081133174	0.125129809	0.125129809	0.084129592	0.08112601	0.082125467	0.083133391	0.1251335	0.082129701	0.083137299	0.083133391	0.082133717	0.125133608	0.083133391	0.081129592	0.081129483	0.079125684	0.081133608	0.081133391	0.082125902	0.081133174	0.082137299	0.081137299	0.081129375	0.082129375	0.124129592	0.082137299	-0.674	-0.675	-0.673	-0.673	-0.674	-0.673	-0.679	-0.679	-0.686	-0.673	-0.673	-0.673	-0.676	-0.673	-0.672	-0.673	-0.675	-0.675	-0.673	-0.672	-0.674	-0.672	-0.684	-0.672	-0.673	-0.673	-0.672	-0.675	-0.674	-0.674	-0.679	-0.672
FLQS319HGRWY	0.0911073281	0.1198896279	0.1289787813	0.1289787813	0.0817838878	0.0829559746	0.0740285413	0.0740285413	0.1199580479	0.082101108	0.0809601213	0.1289787813	0.0749580479	0.1249580479	0.132063788	0.1289787813	0.0358875545	0.0790347613	0.1289787813	0.1090161013	0.0979808546	0.0350161013	0.0780347613	0.0798709679	0.0348668212	0.0829559746	0.0367838878	0.0830306147	0.0807942545	0.0817838878	0.0787984011	0.0367838878	-0.00277099299998	0.035229131	-0.00676759999999	-0.00676759999999	0.038231986	-0.00376776499999	0.038231945	0.038231945	0.037231986	-0.00476668899998	-0.00676461999998	-0.00676759999999	0.038230538	-0.005766276	-0.007769131	-0.00676759999999	0.039230497	0.038230538	-0.00676759999999	0.076230331	-0.044766317	0.040233269	0.038230455	-0.003767724	0.039233352	-0.00376776499999	-0.00376925500001	-0.00377090999999	0.038231986	0.038231986	0.033232069	-0.00376925500001	-0.582	-0.575	-0.567	-0.567	-0.589	-0.585	-0.593	-0.593	-0.575	-0.585	-0.585	-0.567	-0.591	-0.568	-0.565	-0.567	-0.607	-0.59	-0.567	-0.583	-0.574	-0.608	-0.591	-0.585	-0.607	-0.585	-0.602	-0.585	-0.589	-0.589	-0.591	-0.602
FLQS317CGRWY	0.1926442358	0.2325092131	0.1995626874	0.1995626874	0.2394998551	0.1916068037	0.1916054669	0.1916054669	0.2355560031	0.2356535938	0.2365493188	0.1995626874	0.2345506557	0.1945586768	0.2006161618	0.1995626874	0.1995613506	0.19560413	0.1995626874	0.1916081406	0.2415640243	0.1936509201	0.1976027932	0.1955600137	0.1945586768	0.1916068037	0.232547982	0.2376108143	0.2375052025	0.2394998551	0.2334998551	0.232547982	-0.048088975	-0.050088975	-0.090073818	-0.090073818	-0.050075178	-0.051082368	-0.049075761	-0.049075761	-0.047075761	-0.05006896	-0.047068377	-0.090073818	-0.05008198	-0.048075955	-0.087081008	-0.090073818	-0.091082563	-0.047082174	-0.090073818	-0.049075955	-0.093067599	-0.04706896	-0.048082368	-0.090074012	-0.049069154	-0.051082368	-0.051088587	-0.049089364	-0.047075372	-0.050075178	-0.048075372	-0.051088587	0.075	0.09	0.082	0.082	0.093	0.075	0.074	0.074	0.092	0.091	0.092	0.082	0.091	0.075	0.082	0.082	0.082	0.076	0.082	0.075	0.098	0.074	0.077	0.081	0.076	0.075	0.091	0.092	0.092	0.093	0.091	0.091
FLQS3160GRWY	-0.2154079689	-0.2573839989	-0.2563895572	-0.2563895572	-0.252382262	-0.2663951154	-0.2284008474	-0.2284008474	-0.2583892098	-0.2174079689	-0.2253952891	-0.2563895572	-0.2613895572	-0.2183959839	-0.261396505	-0.2563895572	-0.2253956365	-0.2473971998	-0.2563895572	-0.2243956365	-0.2543895572	-0.2204077952	-0.2483966787	-0.2193971998	-0.2253959839	-0.2663951154	-0.2603897309	-0.2563959839	-0.2553827831	-0.252382262	-0.2623826094	-0.2603897309	0.0624825	0.064482424	0.063483358	0.063483358	0.063484317	0.103483434	0.104483181	0.104483181	0.063484216	0.062485099	0.103485225	0.063483358	0.105483358	0.062484241	0.1034825	0.063483358	0.106482323	0.017484443	0.063483358	0.105484241	0.063484292	0.104485124	0.017484443	0.104483358	0.103485124	0.103483434	0.105482449	0.063482475	0.063484266	0.063484317	0.062484216	0.105482449	0.061	0.045	0.045	0.045	0.047	0.037	0.051	0.051	0.045	0.06	0.052	0.045	0.039	0.06	0.039	0.045	0.052	0.053	0.045	0.053	0.046	0.055	0.053	0.055	0.053	0.037	0.04	0.045	0.046	0.047	0.043	0.04
FLQS3126GRWV	-0.3565157628	-0.2715131869	-0.2705144953	-0.2705144953	-0.36051102	-0.3555143317	-0.323513882	-0.323513882	-0.3145144544	-0.3155176435	-0.403510652	-0.2705144953	-0.3175144544	-0.3155126963	-0.3155145362	-0.2705144953	-0.3155148633	-0.3195143317	-0.2705144953	-0.45751425	-0.296515313	-0.3145157628	-0.317516049	-0.4035125737	-0.3585126554	-0.3555143317	-0.2715146179	-0.3145162943	-0.3155130234	-0.36051102	-0.3605112244	-0.2715146179	0.087787904	0.13179068	0.135785569	0.135785569	0.077782667	0.086785569	0.144787083	0.144787083	0.130786263	0.132784307	0.132783992	0.135785569	0.085785569	0.131786452	0.086787904	0.135785569	0.087785506	0.132788661	0.135785569	0.08878355	0.078782667	0.131784181	0.130788408	0.087785695	0.088781342	0.086785569	0.084787777	0.087787904	0.083783172	0.077782667	0.085783424	0.084787777	-0.148	-0.12	-0.12	-0.12	-0.149	-0.147	-0.141	-0.141	-0.136	-0.137	-0.17	-0.12	-0.132	-0.136	-0.132	-0.12	-0.132	-0.138	-0.12	-0.187	-0.124	-0.136	-0.138	-0.166	-0.149	-0.147	-0.115	-0.132	-0.132	-0.149	-0.149	-0.115
