,Distance_X_LOGO_MainBoard_RD1,Distance_X_LOGO_MainBoard_RD2,Distance_X_LOGO_MainBoard_RD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_RD1,Distance_Y_LOGO_MainBoard_RD2,Distance_Y_LOGO_MainBoard_RD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_RD1,Angle_MainBoard_RD2,Angle_MainBoard_RD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-64.5271090045,-64.4520856244,-64.3770622444,-64.4140737786,-64.416074402,-64.3790628679,-64.3820638031,-64.4150740903,-64.3790628679,-64.4150740903,-64.416074402,-64.3770622444,-64.4150740903,-64.3780625561,-64.3750616209,-64.3780625561,-64.3770622444,-64.3810634913,-64.3750616209,-64.4180750255,-64.3780625561,-64.3790628679,-64.3750616209,-64.4150740903,-64.3770622444,-64.3770622444,-64.4180750255,-64.3770622444,-64.416074402,-64.4180750255,-64.4190753372,-64.3810634913,-94.3058238808,-94.2708061228,-94.2728071376,-94.3418421462,-94.2738076449,-94.3028223587,-94.2447929311,-94.3028223587,-94.3028223587,-94.3028223587,-94.2738076449,-94.2748081523,-94.2708061228,-94.3058238808,-94.3428426536,-94.3058238808,-94.2748081523,-94.308825403,-94.3428426536,-94.3098259103,-94.3058238808,-94.343843161,-94.3428426536,-94.3048233735,-94.2728071376,-94.2728071376,-94.3098259103,-94.2728071376,-94.2738076449,-94.3098259103,-94.3448436684,-94.308825403,235.85,235.871,235.902,235.906,235.886,235.91,235.892,235.895,235.91,235.895,235.886,235.903,235.886,235.911,235.923,235.911,235.903,235.91,235.923,235.896,235.911,235.921,235.923,235.895,235.902,235.902,235.896,235.902,235.886,235.896,235.905,235.91
FLQS30KBGRWV,-64.1848801529,-64.1508388481,-64.0777501643,-64.1127926839,-64.079752594,-64.079752594,-64.0447100744,-64.1137938988,-64.079752594,-64.1137938988,-64.079752594,-64.0777501643,-64.1157963285,-64.0787513792,-64.0777501643,-64.0787513792,-64.0777501643,-64.0817550237,-64.0777501643,-64.0787513792,-64.0787513792,-64.0437088595,-64.0777501643,-64.1167975433,-64.0777501643,-64.0777501643,-64.0787513792,-64.0777501643,-64.079752594,-64.0787513792,-64.079752594,-64.0817550237,-94.2783641369,-94.2823640675,-94.2503646227,-94.3203634082,-94.2543645533,-94.2833640501,-94.2203651433,-94.2843640328,-94.2833640501,-94.2843640328,-94.2543645533,-94.2873639807,-94.2503646227,-94.2793641195,-94.2823640675,-94.2793641195,-94.2873639807,-94.2843640328,-94.2823640675,-94.2883639634,-94.2793641195,-94.2823640675,-94.2823640675,-94.2533645707,-94.2503646227,-94.2503646227,-94.2883639634,-94.2503646227,-94.2543645533,-94.2883639634,-94.3213633908,-94.2843640328,235.532,235.547,235.568,235.573,235.568,235.577,235.573,235.563,235.577,235.563,235.568,235.579,235.553,235.576,235.577,235.576,235.579,235.576,235.577,235.579,235.576,235.591,235.577,235.553,235.568,235.568,235.579,235.568,235.568,235.579,235.588,235.576
FLQS30CWGRWV,-64.306955033,-64.2729460662,-64.2009270779,-64.2399373632,-64.2449386819,-64.2459389456,-64.1659178474,-64.236936572,-64.2459389456,-64.236936572,-64.2449386819,-64.2019273416,-64.236936572,-64.2029276053,-64.2009270779,-64.2029276053,-64.2019273416,-64.1659178474,-64.2009270779,-64.2449386819,-64.2029276053,-64.1669181111,-64.2009270779,-64.2389370995,-64.2009270779,-64.2009270779,-64.2449386819,-64.2009270779,-64.2449386819,-64.2449386819,-64.2469392093,-64.1659178474,-94.362619809,-94.3656208464,-94.331609089,-94.4076353702,-94.3336097806,-94.3696222296,-94.3025990607,-94.3666211922,-94.3696222296,-94.3666211922,-94.3336097806,-94.3686218838,-94.3306087432,-94.3656208464,-94.4016332954,-94.3656208464,-94.3686218838,-94.3666211922,-94.4016332954,-94.3716229212,-94.3656208464,-94.4016332954,-94.4016332954,-94.3686218838,-94.331609089,-94.331609089,-94.3716229212,-94.331609089,-94.3336097806,-94.3716229212,-94.4066350244,-94.3666211922,236.012,236.027,236.047,236.053,236.029,236.039,236.054,236.042,236.039,236.042,236.029,236.057,236.032,236.056,236.067,236.056,236.057,236.071,236.067,236.04,236.056,236.081,236.067,236.042,236.047,236.047,236.04,236.047,236.029,236.04,236.049,236.071
FLQS30C7GRWV,-64.013709311,-63.9806785012,-63.9046075454,-63.9436439569,-63.9496495587,-63.9066094127,-63.870575802,-63.9416420897,-63.9066094127,-63.9416420897,-63.9496495587,-63.9026056782,-63.9426430233,-63.905608479,-63.9036066118,-63.905608479,-63.9026056782,-63.8685739348,-63.9036066118,-63.9486486251,-63.905608479,-63.8695748684,-63.9036066118,-63.9856831694,-63.9046075454,-63.9046075454,-63.9486486251,-63.9046075454,-63.9496495587,-63.9486486251,-63.9066094127,-63.8685739348,-94.3550754873,-94.3520754213,-94.3180746734,-94.3920763012,-94.3210747394,-94.3550754873,-94.2880740135,-94.3520754213,-94.3550754873,-94.3520754213,-94.3210747394,-94.3530754433,-94.3160746294,-94.3470753113,-94.3500753773,-94.3470753113,-94.3530754433,-94.3160746294,-94.3500753773,-94.3600755973,-94.3470753113,-94.3860761692,-94.3500753773,-94.3570755313,-94.3180746734,-94.3180746734,-94.3600755973,-94.3180746734,-94.3210747394,-94.3600755973,-94.3920763012,-94.3160746294,236.186,236.199,236.221,236.226,236.203,236.23,236.226,236.215,236.23,236.215,236.203,236.231,236.204,236.228,236.23,236.228,236.231,236.235,236.23,236.214,236.228,236.254,236.23,236.198,236.221,236.221,236.214,236.221,236.203,236.214,236.241,236.235
FLQS29JFGRX5,-64.2424872222,-64.2514878509,-64.1374798876,-64.1754825421,-64.1414801671,-64.1414801671,-64.1034775126,-64.1754825421,-64.1414801671,-64.1754825421,-64.1414801671,-64.1384799575,-64.1764826119,-64.1384799575,-64.1374798876,-64.1384799575,-64.1384799575,-64.1034775126,-64.1374798876,-64.1424802369,-64.1384799575,-64.1034775126,-64.1374798876,-64.216485406,-64.1374798876,-64.1374798876,-64.1424802369,-64.1374798876,-64.1414801671,-64.1424802369,-64.1424802369,-64.1034775126,-94.2258990721,-94.2258990721,-94.1908965093,-94.2579014153,-94.193896729,-94.2248989989,-94.1918965825,-94.2218987792,-94.2248989989,-94.2218987792,-94.193896729,-94.2238989257,-94.1908965093,-94.2198986328,-94.2218987792,-94.2198986328,-94.2238989257,-94.2268991454,-94.2218987792,-94.2288992918,-94.2198986328,-94.2268991454,-94.2218987792,-94.2308994383,-94.1908965093,-94.1908965093,-94.2288992918,-94.1908965093,-94.193896729,-94.2288992918,-94.2238989257,-94.2268991454,235.408,235.404,235.442,235.445,235.441,235.45,235.456,235.435,235.45,235.435,235.441,235.451,235.426,235.45,235.45,235.45,235.451,235.466,235.45,235.45,235.45,235.466,235.45,235.42,235.442,235.442,235.45,235.442,235.441,235.45,235.449,235.466
FLQS22XEGRX2,-64.1191456861,-64.1301472554,-64.0511359855,-64.0931419771,-64.0531362708,-64.0571368415,-64.0161309926,-64.0891414065,-64.0571368415,-64.0891414065,-64.0531362708,-64.0551365561,-64.0931419771,-64.0561366988,-64.0551365561,-64.0561366988,-64.0551365561,-63.9801258569,-64.0551365561,-64.102143261,-64.0561366988,-64.0681384107,-64.0551365561,-64.0911416918,-64.0511359855,-64.0511359855,-64.102143261,-64.0511359855,-64.0531362708,-64.102143261,-64.0541364135,-63.9801258569,-94.2775561042,-94.3115545016,-94.2445576596,-94.3515526163,-94.2475575182,-94.3145543602,-94.2455576125,-94.3095545959,-94.3145543602,-94.3095545959,-94.2475575182,-94.3125544545,-94.2795560099,-94.3095545959,-94.3125544545,-94.3095545959,-94.3125544545,-94.2785560571,-94.3125544545,-94.3255538418,-94.3095545959,-94.3545524749,-94.3125544545,-94.2805559628,-94.2445576596,-94.2445576596,-94.3255538418,-94.2445576596,-94.2475575182,-94.3255538418,-94.3145543602,-94.2785560571,236.083,236.088,236.101,236.114,236.101,236.119,236.116,236.104,236.119,236.104,236.101,236.119,236.094,236.118,236.119,236.118,236.119,236.14,236.119,236.103,236.118,236.125,236.119,236.095,236.101,236.101,236.103,236.101,236.101,236.103,236.12,236.14
FLQS22TQGRX2,-64.1605662356,-64.0865494317,-64.0065312654,-64.0485408027,-64.0545421652,-64.0135328549,-63.9755242259,-64.0485408027,-64.0135328549,-64.0485408027,-64.0545421652,-64.0075314925,-64.0475405756,-64.0065312654,-64.0085317195,-64.0065312654,-64.0075314925,-64.0155333091,-64.0085317195,-64.0135328549,-64.0065312654,-64.0155333091,-64.0085317195,-64.0505412569,-64.0065312654,-64.0065312654,-64.0135328549,-64.0065312654,-64.0545421652,-64.0135328549,-64.014533082,-64.0155333091,-94.3363921052,-94.2993935202,-94.2693946676,-94.3353921435,-94.3053932908,-94.2973935967,-94.2743944763,-94.2983935585,-94.2973935967,-94.2983935585,-94.3053932908,-94.304393329,-94.2653948205,-94.2973935967,-94.337392067,-94.2973935967,-94.304393329,-94.3063932525,-94.337392067,-94.304393329,-94.2973935967,-94.3403919523,-94.337392067,-94.3013934438,-94.2693946676,-94.2693946676,-94.304393329,-94.2693946676,-94.3053932908,-94.304393329,-94.3353921435,-94.3063932525,235.501,235.521,235.546,235.547,235.536,235.551,235.56,235.537,235.551,235.537,235.536,235.555,235.527,235.554,235.564,235.554,235.555,235.553,235.564,235.553,235.554,235.562,235.564,235.537,235.546,235.546,235.553,235.546,235.536,235.553,235.561,235.553
FLQS21YXGRX2,-64.0799907788,-64.0499935919,-63.973000812,-64.0139969675,-63.9770004369,-63.9760005307,-63.9410038126,-64.0129970613,-63.9760005307,-64.0129970613,-63.9770004369,-63.9720009058,-64.0139969675,-63.9720009058,-63.973000812,-63.9720009058,-63.9720009058,-63.9819999681,-63.973000812,-63.9780003432,-63.9720009058,-63.891008501,-63.973000812,-64.01599678,-63.973000812,-63.973000812,-63.9780003432,-63.973000812,-63.9770004369,-63.9780003432,-63.9800001556,-63.9819999681,-94.1912966849,-94.1612969089,-94.1252971777,-94.1972966401,-94.1312971329,-94.1612969089,-94.1302971404,-94.1592969239,-94.1612969089,-94.1592969239,-94.1312971329,-94.1612969089,-94.1282971553,-94.1912966849,-94.1962966476,-94.1912966849,-94.1612969089,-94.2402963191,-94.1962966476,-94.1652968791,-94.1912966849,-94.2042965879,-94.1962966476,-94.1652968791,-94.1252971777,-94.1252971777,-94.1652968791,-94.1252971777,-94.1312971329,-94.1652968791,-94.2302963937,-94.2402963191,235.431,235.435,235.457,235.461,235.457,235.466,235.472,235.45,235.466,235.45,235.457,235.468,235.441,235.476,235.477,235.476,235.468,235.486,235.477,235.466,235.476,235.514,235.477,235.451,235.457,235.457,235.466,235.457,235.457,235.466,235.484,235.486
FLQS2AVTGRX5,-64.3493820604,-64.317385351,-64.2023971769,-64.2433929607,-64.2053968684,-64.2423930635,-64.167400776,-64.2423930635,-64.2423930635,-64.2423930635,-64.2053968684,-64.2463926522,-64.2413931664,-64.2013972797,-64.203397074,-64.2013972797,-64.2463926522,-64.2063967655,-64.203397074,-64.2433929607,-64.2013972797,-64.2063967655,-64.203397074,-64.2423930635,-64.2023971769,-64.2023971769,-64.2433929607,-64.2023971769,-64.2053968684,-64.2433929607,-64.2433929607,-64.2063967655,-94.2914551439,-94.289455113,-94.2564546037,-94.326455684,-94.2554545883,-94.3244556531,-94.2554545883,-94.2864550667,-94.3244556531,-94.2864550667,-94.2554545883,-94.326455684,-94.2534545574,-94.2904551284,-94.3274556994,-94.2904551284,-94.326455684,-94.2914551439,-94.3274556994,-94.2944551902,-94.2904551284,-94.3254556686,-94.3274556994,-94.2904551284,-94.2564546037,-94.2564546037,-94.2944551902,-94.2564546037,-94.2554545883,-94.2944551902,-94.3294557303,-94.2914551439,235.355,235.367,235.406,235.409,235.404,235.408,235.419,235.397,235.408,235.397,235.404,235.407,235.388,235.415,235.425,235.415,235.407,235.414,235.425,235.399,235.415,235.423,235.425,235.399,235.406,235.406,235.399,235.406,235.404,235.399,235.409,235.414
FLQS3087GRWV,-64.7672559305,-64.7360670384,-64.6575917613,-64.6978354931,-64.6626222277,-64.6626222277,-64.6243906825,-64.6988415864,-64.6626222277,-64.6988415864,-64.6626222277,-64.6585978546,-64.6978354931,-64.6575917613,-64.6575917613,-64.6575917613,-64.6585978546,-64.6223784959,-64.6575917613,-64.6616161344,-64.6575917613,-64.6223784959,-64.6575917613,-64.6988415864,-64.6575917613,-64.6575917613,-64.6616161344,-64.6575917613,-64.6626222277,-64.6616161344,-64.663628321,-64.6223784959,-94.2269606329,-94.224960655,-94.192961008,-94.2629602358,-94.1959609749,-94.2269606329,-94.1979609528,-94.223960666,-94.2269606329,-94.223960666,-94.1959609749,-94.2279606219,-94.191961019,-94.222960677,-94.2619602469,-94.222960677,-94.2279606219,-94.2289606109,-94.2619602469,-94.2299605998,-94.222960677,-94.2619602469,-94.2619602469,-94.2279606219,-94.192961008,-94.192961008,-94.2299605998,-94.192961008,-94.1959609749,-94.2299605998,-94.2949598829,-94.2289606109,235.369,235.381,235.405,235.408,235.403,235.412,235.42,235.397,235.412,235.397,235.403,235.414,235.388,235.413,235.424,235.413,235.414,235.429,235.424,235.413,235.413,235.439,235.424,235.398,235.405,235.405,235.413,235.405,235.403,235.413,235.431,235.429
FLQS2044GRWY,-64.2713247659,-64.2383322991,-64.160350105,-64.2013407455,-64.1663487353,-64.1663487353,-64.1303569534,-64.199341202,-64.1663487353,-64.199341202,-64.1663487353,-64.1653489636,-64.2003409738,-64.1653489636,-64.1653489636,-64.1653489636,-64.1653489636,-64.1293571817,-64.1653489636,-64.1653489636,-64.1653489636,-64.12835741,-64.1653489636,-64.2013407455,-64.160350105,-64.160350105,-64.1653489636,-64.160350105,-64.1663487353,-64.1653489636,-64.1663487353,-64.1293571817,-94.2221011542,-94.2201010883,-94.189100068,-94.2581023391,-94.1881000351,-94.2221011542,-94.1931001997,-94.2191010554,-94.2221011542,-94.2191010554,-94.1881000351,-94.22410122,-94.1860999693,-94.2211011213,-94.2601024049,-94.2211011213,-94.22410122,-94.2221011542,-94.2601024049,-94.22410122,-94.2211011213,-94.259102372,-94.2601024049,-94.22410122,-94.189100068,-94.189100068,-94.22410122,-94.189100068,-94.1881000351,-94.22410122,-94.2581023391,-94.2221011542,235.488,235.502,235.525,235.527,235.522,235.532,235.538,235.517,235.532,235.517,235.522,235.533,235.508,235.532,235.543,235.532,235.533,235.547,235.543,235.533,235.532,235.558,235.543,235.518,235.525,235.525,235.533,235.525,235.522,235.533,235.542,235.547
FLQS312SGRWV,-64.3879606936,-64.3959628015,-64.276931447,-64.3179422498,-64.2819327644,-64.2819327644,-64.245923279,-64.3169419863,-64.2819327644,-64.3169419863,-64.2819327644,-64.2799322374,-64.3179422498,-64.2799322374,-64.2779317104,-64.2799322374,-64.2799322374,-64.2449230155,-64.2779317104,-64.2829330279,-64.2799322374,-64.2449230155,-64.2779317104,-64.3189425133,-64.276931447,-64.276931447,-64.2829330279,-64.276931447,-64.2819327644,-64.2829330279,-64.2839332913,-64.2449230155,-94.2700683882,-94.2710683147,-94.2370708145,-94.3050658149,-94.2390706675,-94.2710683147,-94.2410705204,-94.2670686088,-94.2710683147,-94.2670686088,-94.2390706675,-94.2710683147,-94.2350709616,-94.2680685353,-94.3070656679,-94.2680685353,-94.2710683147,-94.2720682412,-94.3070656679,-94.2730681677,-94.2680685353,-94.3050658149,-94.3070656679,-94.2710683147,-94.2370708145,-94.2370708145,-94.2730681677,-94.2370708145,-94.2390706675,-94.2730681677,-94.3060657414,-94.2720682412,236.009,236.006,236.046,236.048,236.045,236.053,236.06,236.038,236.053,236.038,236.045,236.054,236.029,236.053,236.065,236.053,236.054,236.069,236.065,236.054,236.053,236.079,236.065,236.038,236.046,236.046,236.054,236.046,236.045,236.054,236.063,236.069
FLQS31J6GRWY,-64.3338503458,-64.3038242791,-64.2267573748,-64.2657912614,-64.2287591126,-64.2297599815,-64.1927278326,-64.2647903925,-64.2297599815,-64.2647903925,-64.2287591126,-64.2277582437,-64.2647903925,-64.189725226,-64.2267573748,-64.189725226,-64.2277582437,-64.1927278326,-64.2267573748,-64.2277582437,-64.189725226,-64.1927278326,-64.2267573748,-64.2657912614,-64.2267573748,-64.2267573748,-64.2277582437,-64.2267573748,-64.2287591126,-64.2277582437,-64.2307608504,-64.1927278326,-94.3586992718,-94.3236956737,-94.3276960849,-94.3937028698,-94.3256958793,-94.3586992718,-94.3296962905,-94.3556989634,-94.3586992718,-94.3556989634,-94.3256958793,-94.3606994774,-94.3216954681,-94.3536987578,-94.3907025614,-94.3536987578,-94.3606994774,-94.357699169,-94.3907025614,-94.3606994774,-94.3536987578,-94.392702767,-94.3907025614,-94.357699169,-94.3276960849,-94.3276960849,-94.3606994774,-94.3276960849,-94.3256958793,-94.3606994774,-94.3957030754,-94.357699169,235.474,235.477,235.51,235.513,235.509,235.518,235.525,235.502,235.518,235.502,235.509,235.519,235.493,235.533,235.528,235.533,235.519,235.533,235.528,235.519,235.533,235.543,235.528,235.502,235.51,235.51,235.519,235.51,235.509,235.519,235.528,235.533
FLQS31FWGRWY,-64.150847409,-64.1178505736,-64.0388581496,-64.0808541219,-64.0428577661,-64.0458574784,-64.0058613143,-64.081854026,-64.0458574784,-64.081854026,-64.0428577661,-64.0398580537,-64.081854026,-64.0438576702,-64.0388581496,-64.0438576702,-64.0398580537,-64.0058613143,-64.0388581496,-64.0928529711,-64.0438576702,-64.0068612184,-64.0388581496,-64.081854026,-64.0388581496,-64.0388581496,-64.0928529711,-64.0388581496,-64.0428577661,-64.0928529711,-64.0948527793,-64.0058613143,-94.2907871661,-94.2827867599,-94.2527852367,-94.3597906694,-94.255785389,-94.2877870138,-94.2597855921,-94.2827867599,-94.2877870138,-94.2827867599,-94.255785389,-94.286786963,-94.2507851352,-94.32178874,-94.3247888924,-94.32178874,-94.286786963,-94.2927872676,-94.3247888924,-94.3357894509,-94.32178874,-94.3267889939,-94.3247888924,-94.3247888924,-94.2527852367,-94.2527852367,-94.3357894509,-94.2527852367,-94.255785389,-94.3357894509,-94.3677910756,-94.2927872676,236.017,236.029,236.053,236.066,236.052,236.06,236.069,236.044,236.06,236.044,236.052,236.063,236.035,236.071,236.074,236.071,236.063,236.079,236.074,236.055,236.071,236.088,236.074,236.056,236.053,236.053,236.055,236.053,236.052,236.055,236.063,236.079
FLQS31CRGRWY,-64.0706838743,-64.0366797962,-63.9656712803,-64.0016755983,-63.9636710404,-63.9626709205,-63.9316672023,-63.9996753584,-63.9626709205,-63.9996753584,-63.9636710404,-63.9616708006,-63.9986752384,-63.9256664826,-63.9646711604,-63.9256664826,-63.9616708006,-63.9296669624,-63.9646711604,-63.9636710404,-63.9256664826,-63.9296669624,-63.9646711604,-64.0006754783,-63.9656712803,-63.9656712803,-63.9636710404,-63.9656712803,-63.9636710404,-63.9636710404,-63.9636710404,-63.9296669624,-94.3181983972,-94.3561831733,-94.2822128198,-94.3581823721,-94.2852116179,-94.3201975959,-94.2502256398,-94.3151995991,-94.3201975959,-94.3151995991,-94.2852116179,-94.3181983972,-94.280213621,-94.3161991984,-94.3571827727,-94.3161991984,-94.3181983972,-94.323196394,-94.3571827727,-94.3241959934,-94.3161991984,-94.3561831733,-94.3571827727,-94.3181983972,-94.2822128198,-94.2822128198,-94.3241959934,-94.2822128198,-94.2852116179,-94.3241959934,-94.3591819715,-94.323196394,235.65,235.675,235.683,235.69,235.685,235.695,235.688,235.678,235.695,235.678,235.685,235.695,235.669,235.709,235.705,235.709,235.695,235.71,235.705,235.696,235.709,235.719,235.705,235.679,235.683,235.683,235.696,235.683,235.685,235.696,235.705,235.71
FLQS319LGRWY,-64.1170618674,-64.0840448422,-64.0050040849,-64.0460252374,-64.0070051168,-64.0080056327,-63.9739880916,-64.0440242056,-64.0080056327,-64.0440242056,-64.0070051168,-64.0070051168,-64.0420231738,-64.0090061486,-64.0050040849,-64.0090061486,-64.0070051168,-63.9729875757,-64.0050040849,-64.0080056327,-64.0090061486,-63.9729875757,-64.0050040849,-64.0450247215,-64.0050040849,-64.0050040849,-64.0080056327,-64.0050040849,-64.0070051168,-64.0080056327,-64.0090061486,-63.9729875757,-94.3659521505,-94.3649520663,-94.3399499593,-94.4079556901,-94.3369497065,-94.4049554373,-94.3089473468,-94.363951982,-94.4049554373,-94.363951982,-94.3369497065,-94.3759529933,-94.3319492851,-94.3729527405,-94.4129561115,-94.3729527405,-94.3759529933,-94.3779531619,-94.4129561115,-94.3759529933,-94.3729527405,-94.3759529933,-94.4129561115,-94.3729527405,-94.3399499593,-94.3399499593,-94.3759529933,-94.3399499593,-94.3369497065,-94.3759529933,-94.4089557744,-94.3779531619,235.643,235.656,235.682,235.684,235.68,235.699,235.686,235.673,235.699,235.673,235.68,235.691,235.664,235.69,235.703,235.69,235.691,235.706,235.703,235.691,235.69,235.706,235.703,235.675,235.682,235.682,235.691,235.682,235.68,235.691,235.7,235.706
FLQS319HGRWY,-64.1245378755,-64.0904919295,-64.0123865241,-64.0554446322,-64.0183946322,-64.0183946322,-63.9773392268,-64.0534419295,-64.0183946322,-64.0534419295,-64.0183946322,-64.0133878754,-64.0534419295,-64.0133878754,-63.9673257133,-64.0133878754,-64.0133878754,-63.9783405781,-63.9673257133,-64.0183946322,-64.0133878754,-63.9773392268,-63.9673257133,-64.0564459836,-64.0123865241,-64.0123865241,-64.0183946322,-64.0123865241,-64.0183946322,-64.0183946322,-64.0203973349,-63.9783405781,-94.2059511799,-94.2039512871,-94.1459543953,-94.2469489827,-94.1759527876,-94.2079510727,-94.1779526804,-94.2079510727,-94.2079510727,-94.2079510727,-94.1759527876,-94.2129508047,-94.1739528948,-94.2079510727,-94.2469489827,-94.2079510727,-94.2129508047,-94.2109509119,-94.2469489827,-94.2109509119,-94.2079510727,-94.2449490898,-94.2469489827,-94.2129508047,-94.1459543953,-94.1459543953,-94.2109509119,-94.1459543953,-94.1759527876,-94.2109509119,-94.2449490898,-94.2109509119,235.534,235.548,235.564,235.574,235.57,235.579,235.587,235.564,235.579,235.564,235.57,235.582,235.554,235.581,235.611,235.581,235.582,235.596,235.611,235.579,235.581,235.606,235.611,235.564,235.564,235.564,235.579,235.564,235.57,235.579,235.588,235.596
FLQS317CGRWY,-64.3356683557,-64.3026459415,-64.2255936416,-64.2636194519,-64.2255936416,-64.227595,-64.1935719066,-64.2636194519,-64.227595,-64.2636194519,-64.2255936416,-64.1855664728,-64.2626187727,-64.186567152,-64.1845657936,-64.186567152,-64.1855664728,-64.1895691897,-64.1845657936,-64.2265943208,-64.186567152,-64.1905698689,-64.1845657936,-64.2646201311,-64.2255936416,-64.2255936416,-64.2265943208,-64.2255936416,-64.2255936416,-64.2265943208,-64.2285956792,-64.1895691897,-94.3222803233,-94.3212805217,-94.2932860776,-94.3602727831,-94.2932860776,-94.3592729815,-94.2982850855,-94.3212805217,-94.3592729815,-94.3212805217,-94.2932860776,-94.3272793311,-94.2872872682,-94.3272793311,-94.3632721878,-94.3272793311,-94.3272793311,-94.3272793311,-94.3632721878,-94.3282791327,-94.3272793311,-94.3612725847,-94.3632721878,-94.3262795296,-94.2932860776,-94.2932860776,-94.3282791327,-94.2932860776,-94.2932860776,-94.3282791327,-94.3602727831,-94.3272793311,236.041,236.055,236.079,236.082,236.078,236.096,236.093,236.071,236.096,236.071,236.078,236.105,236.062,236.104,236.115,236.104,236.105,236.103,236.115,236.088,236.104,236.112,236.115,236.072,236.079,236.079,236.088,236.079,236.078,236.088,236.096,236.103
FLQS3160GRWY,-64.0337276636,-64.001719302,-63.9327012722,-63.9667101565,-63.9697109404,-63.9697109404,-63.9016931719,-63.9657098952,-63.9697109404,-63.9657098952,-63.9697109404,-63.9327012722,-63.9657098952,-63.9327012722,-63.9317010109,-63.9327012722,-63.9327012722,-63.9347017948,-63.9317010109,-63.9697109404,-63.9327012722,-63.9347017948,-63.9317010109,-64.0067206085,-63.9327012722,-63.9327012722,-63.9697109404,-63.9327012722,-63.9697109404,-63.9697109404,-63.971711463,-63.9347017948,-94.2866170409,-94.2886171176,-94.25661589,-94.3296186905,-94.2596160051,-94.2916172327,-94.2266147391,-94.2886171176,-94.2916172327,-94.2886171176,-94.2596160051,-94.2916172327,-94.2546158133,-94.2936173095,-94.3286186522,-94.2936173095,-94.2916172327,-94.2976174629,-94.3286186522,-94.2976174629,-94.2936173095,-94.3326188056,-94.3286186522,-94.2956173862,-94.25661589,-94.25661589,-94.2976174629,-94.25661589,-94.2596160051,-94.2976174629,-94.3316187673,-94.2976174629,235.698,235.712,235.732,235.738,235.717,235.726,235.736,235.727,235.726,235.727,235.717,235.742,235.717,235.742,235.752,235.742,235.742,235.742,235.752,235.728,235.742,235.752,235.752,235.712,235.732,235.732,235.728,235.732,235.717,235.728,235.737,235.742
