SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-65.798	-65.657	-65.765	-65.517	-65.389	-65.553	-65.482	-65.590	-65.588	-65.524	-65.707	-65.530	-65.517	-65.623	-65.858	-65.482	-65.805	-65.631	-65.520	-65.596	-65.496	-65.479	-65.518	-65.384	-65.788	-65.517	-65.624	-65.756	-65.717	-65.540	-65.803	-65.508	131.508	131.290	131.473	131.298	131.331	131.154	131.296	131.155	131.194	131.089	131.312	131.266	131.298	131.230	131.403	131.226	131.276	131.270	131.153	131.265	131.087	131.331	131.225	131.119	131.331	131.190	130.950	131.439	131.219	131.326	131.274	131.361	116.685	116.674	116.680	116.624	116.573	116.662	116.612	116.674	116.667	116.663	116.688	116.634	116.624	116.673	116.725	116.624	116.728	116.669	116.650	116.657	116.653	116.605	116.637	116.608	116.713	116.643	116.722	116.683	116.707	116.627	116.728	116.610	2016_7_19_17_04_17
FLQS30KBGRWV____	-65.932	-65.788	-65.896	-65.644	-65.516	-65.680	-65.580	-65.682	-65.718	-65.647	-65.795	-65.653	-65.644	-65.754	-65.987	-65.612	-65.935	-65.721	-65.611	-65.720	-65.614	-65.608	-65.648	-65.474	-65.915	-65.647	-65.750	-65.883	-65.811	-65.668	-65.931	-65.635	131.365	131.144	131.291	131.148	131.147	131.046	131.147	131.009	131.053	130.949	131.165	131.123	131.148	131.043	131.214	131.079	131.086	131.160	131.006	131.123	130.948	131.139	131.079	130.977	131.185	131.044	130.809	131.249	131.076	131.177	131.129	131.215	116.668	116.657	116.669	116.606	116.561	116.636	116.583	116.643	116.648	116.642	116.656	116.613	116.606	116.663	116.714	116.607	116.718	116.631	116.619	116.637	116.630	116.595	116.619	116.576	116.694	116.625	116.702	116.671	116.677	116.609	116.709	116.591	2016_7_19_17_04_17
FLQS30CWGRWV____	-65.800	-65.654	-65.763	-65.509	-65.381	-65.546	-65.482	-65.585	-65.586	-65.518	-65.657	-65.518	-65.509	-65.621	-65.890	-65.480	-65.806	-65.591	-65.513	-65.592	-65.488	-65.474	-65.516	-65.346	-65.819	-65.514	-65.620	-65.749	-65.749	-65.533	-65.800	-65.539	131.393	131.219	131.357	131.221	131.217	131.080	131.220	131.078	131.113	130.980	131.196	131.190	131.221	131.117	131.244	131.148	131.156	131.193	131.080	131.191	130.979	131.254	131.149	131.050	131.220	131.113	130.872	131.282	131.108	131.250	131.202	131.248	116.459	116.439	116.453	116.388	116.344	116.425	116.378	116.439	116.433	116.433	116.444	116.396	116.388	116.445	116.516	116.390	116.503	116.421	116.414	116.422	116.423	116.370	116.403	116.360	116.496	116.408	116.488	116.461	116.491	116.391	116.492	116.393	2016_7_19_17_04_18
FLQS30C7GRWV____	-65.863	-65.714	-65.826	-65.576	-65.450	-65.653	-65.541	-65.645	-65.646	-65.575	-65.721	-65.582	-65.576	-65.646	-65.911	-65.541	-65.904	-65.651	-65.581	-65.649	-65.547	-65.539	-65.577	-65.409	-65.876	-65.573	-65.680	-65.807	-65.700	-65.592	-65.856	-65.563	131.374	131.116	131.297	131.122	131.156	131.017	131.162	131.020	131.061	130.923	131.175	131.129	131.122	131.053	131.225	131.048	131.100	131.136	131.019	131.130	130.923	131.192	131.046	130.985	131.197	131.053	130.819	131.261	131.090	131.188	131.099	131.226	116.546	116.539	116.546	116.490	116.440	116.535	116.471	116.531	116.525	116.524	116.531	116.490	116.490	116.526	116.588	116.490	116.608	116.513	116.509	116.514	116.514	116.465	116.503	116.455	116.581	116.501	116.579	116.546	116.538	116.484	116.591	116.467	2016_7_19_17_04_18
FLQS29JFGRX5____	-65.797	-65.654	-65.762	-65.510	-65.386	-65.550	-65.480	-65.584	-65.586	-65.518	-65.700	-65.523	-65.510	-65.620	-65.857	-65.479	-65.803	-65.591	-65.516	-65.589	-65.488	-65.476	-65.516	-65.347	-65.785	-65.513	-65.621	-65.752	-65.680	-65.536	-65.801	-65.503	131.390	131.174	131.353	131.218	131.215	131.035	131.177	131.074	131.111	130.976	131.193	131.185	131.218	131.110	131.284	131.107	131.199	131.189	131.037	131.186	130.977	131.249	131.103	131.040	131.212	131.068	130.873	131.322	131.145	131.246	131.157	131.243	116.474	116.462	116.469	116.404	116.361	116.450	116.401	116.455	116.449	116.449	116.475	116.414	116.404	116.462	116.514	116.413	116.510	116.437	116.438	116.437	116.439	116.387	116.426	116.378	116.501	116.431	116.503	116.470	116.476	116.408	116.516	116.397	2016_7_19_17_04_18
FLQS22XEGRX2____	-65.852	-65.709	-65.815	-65.568	-65.443	-65.606	-65.535	-65.641	-65.644	-65.574	-65.757	-65.578	-65.568	-65.673	-65.913	-65.535	-65.857	-65.648	-65.570	-65.648	-65.542	-65.535	-65.569	-65.402	-65.843	-65.567	-65.676	-65.807	-65.735	-65.590	-65.857	-65.557	131.390	131.175	131.319	131.219	131.170	131.034	131.182	131.072	131.107	130.971	131.195	131.180	131.219	131.075	131.285	131.150	131.155	131.185	131.075	131.183	130.966	131.209	131.111	131.000	131.213	131.076	130.866	131.279	131.145	131.208	131.199	131.243	116.469	116.457	116.469	116.400	116.365	116.446	116.395	116.451	116.446	116.446	116.470	116.410	116.400	116.462	116.509	116.401	116.512	116.434	116.426	116.434	116.435	116.390	116.420	116.380	116.497	116.425	116.500	116.473	116.472	116.410	116.504	116.392	2016_7_19_17_04_18
FLQS22TQGRX2____	-66.017	-65.876	-65.984	-65.733	-65.603	-65.769	-65.700	-65.808	-65.810	-65.743	-65.925	-65.744	-65.733	-65.844	-66.107	-65.701	-66.023	-65.818	-65.735	-65.817	-65.712	-65.691	-65.738	-65.561	-66.004	-65.737	-65.844	-66.013	-65.900	-65.756	-66.021	-65.720	131.326	131.097	131.287	131.107	131.104	130.961	131.106	130.963	131.003	130.864	131.126	131.111	131.107	131.000	131.171	131.034	131.087	131.117	130.966	131.109	130.898	131.137	131.033	130.931	131.146	130.997	130.792	131.208	131.036	131.136	131.131	131.173	116.550	116.540	116.545	116.489	116.444	116.527	116.477	116.540	116.534	116.535	116.552	116.492	116.489	116.546	116.608	116.490	116.593	116.517	116.514	116.518	116.518	116.469	116.503	116.459	116.576	116.510	116.583	116.569	116.560	116.491	116.585	116.473	2016_7_19_17_04_18
FLQS21YXGRX2____	-65.590	-65.483	-65.587	-65.340	-65.212	-65.341	-65.308	-65.378	-65.380	-65.354	-65.537	-65.318	-65.340	-65.449	-65.687	-65.308	-65.636	-65.426	-65.307	-65.426	-65.321	-65.307	-65.346	-65.171	-65.620	-65.344	-65.415	-65.623	-65.551	-65.367	-65.631	-65.336	131.491	131.272	131.417	131.281	131.273	131.134	131.280	131.133	131.170	131.033	131.298	131.246	131.281	131.173	131.344	131.210	131.257	131.252	131.134	131.247	131.071	131.310	131.208	131.101	131.274	131.174	130.929	131.379	131.203	131.307	131.222	131.345	116.645	116.646	116.657	116.594	116.551	116.620	116.583	116.634	116.628	116.642	116.660	116.593	116.594	116.651	116.705	116.595	116.702	116.629	116.608	116.630	116.624	116.578	116.609	116.566	116.693	116.614	116.682	116.676	116.682	116.599	116.706	116.582	2016_7_19_17_04_18
FLQS2AVTGRX5____	-65.888	-65.746	-65.887	-65.602	-65.513	-65.640	-65.570	-65.679	-65.678	-65.652	-65.834	-65.656	-65.602	-65.712	-65.988	-65.602	-65.931	-65.687	-65.602	-65.725	-65.623	-65.601	-65.606	-65.469	-65.915	-65.604	-65.750	-65.884	-65.848	-65.666	-65.934	-65.669	131.334	131.149	131.298	131.161	131.150	131.012	131.159	131.014	131.052	130.917	131.135	131.125	131.161	131.054	131.224	131.088	131.099	131.134	131.017	131.124	130.917	131.192	131.087	130.980	131.157	131.053	130.809	131.263	131.085	131.187	131.098	131.181	116.556	116.538	116.562	116.486	116.457	116.526	116.475	116.539	116.532	116.547	116.572	116.511	116.486	116.543	116.610	116.499	116.612	116.521	116.511	116.536	116.536	116.480	116.501	116.471	116.596	116.506	116.600	116.567	116.586	116.504	116.613	116.506	2016_7_19_17_04_18
FLQS3087GRWV____	-65.932	-65.789	-65.896	-65.649	-65.523	-65.687	-65.616	-65.722	-65.719	-65.662	-65.839	-65.666	-65.649	-65.757	-65.988	-65.617	-65.964	-65.730	-65.652	-65.731	-65.711	-65.614	-65.653	-65.485	-65.951	-65.653	-65.758	-65.887	-65.845	-65.676	-65.933	-65.672	131.470	131.292	131.436	131.294	131.286	131.151	131.296	131.154	131.156	131.047	131.271	131.263	131.294	131.188	131.363	131.225	131.233	131.267	131.151	131.262	131.016	131.327	131.224	131.119	131.258	131.190	130.943	131.399	131.185	131.325	131.236	131.325	116.516	116.498	116.510	116.448	116.406	116.487	116.436	116.498	116.497	116.496	116.519	116.460	116.448	116.505	116.555	116.449	116.569	116.481	116.475	116.482	116.519	116.430	116.462	116.422	116.560	116.468	116.548	116.513	116.536	116.453	116.558	116.451	2016_7_19_17_04_19
FLQS2044GRWY____	-65.947	-65.807	-65.913	-65.669	-65.575	-65.704	-65.636	-65.738	-65.737	-65.672	-65.855	-65.677	-65.669	-65.776	-66.041	-65.636	-65.985	-65.778	-65.669	-65.783	-65.642	-65.672	-65.672	-65.535	-65.974	-65.671	-65.772	-65.942	-65.867	-65.725	-65.952	-65.693	131.371	131.193	131.339	131.164	131.200	131.056	131.201	131.058	131.092	130.959	131.222	131.172	131.164	131.094	131.269	131.132	131.141	131.169	131.057	131.173	130.955	131.188	131.130	131.023	131.198	131.096	130.853	131.302	131.128	131.233	131.144	131.271	116.791	116.774	116.785	116.731	116.692	116.762	116.713	116.773	116.767	116.767	116.785	116.732	116.731	116.780	116.842	116.725	116.845	116.768	116.750	116.769	116.758	116.727	116.738	116.708	116.831	116.743	116.821	116.802	116.806	116.738	116.833	116.720	2016_7_19_17_04_19
FLQS312SGRWV____	-65.718	-65.573	-65.684	-65.391	-65.299	-65.427	-65.361	-65.470	-65.471	-65.442	-65.625	-65.442	-65.391	-65.542	-65.772	-65.362	-65.722	-65.515	-65.394	-65.514	-65.411	-65.386	-65.397	-65.259	-65.703	-65.397	-65.544	-65.673	-65.595	-65.452	-65.720	-65.420	131.452	131.277	131.421	131.282	131.277	131.136	131.280	131.137	131.169	131.036	131.296	131.248	131.282	131.173	131.345	131.210	131.218	131.251	131.136	131.249	131.001	131.314	131.210	131.103	131.275	131.175	130.922	131.382	131.203	131.309	131.221	131.346	116.670	116.650	116.664	116.586	116.555	116.624	116.576	116.639	116.634	116.646	116.665	116.610	116.586	116.658	116.708	116.588	116.713	116.635	116.612	116.635	116.642	116.579	116.601	116.571	116.696	116.607	116.702	116.667	116.671	116.603	116.711	116.585	2016_7_19_17_04_19
FLQS31J6GRWY____	-65.855	-65.715	-65.790	-65.541	-65.451	-65.573	-65.510	-65.614	-65.613	-65.587	-65.771	-65.592	-65.541	-65.647	-65.922	-65.510	-65.863	-65.657	-65.541	-65.660	-65.553	-65.542	-65.546	-65.406	-65.852	-65.574	-65.717	-65.858	-65.749	-65.603	-65.867	-65.572	131.319	131.148	131.328	131.151	131.193	131.045	131.148	131.011	131.081	130.947	131.165	131.159	131.151	131.087	131.212	131.078	131.125	131.121	131.008	131.119	130.946	131.182	131.077	130.978	131.144	131.045	130.802	131.253	131.074	131.178	131.128	131.217	116.716	116.698	116.692	116.636	116.597	116.666	116.626	116.686	116.674	116.688	116.714	116.653	116.636	116.685	116.759	116.638	116.753	116.682	116.661	116.683	116.676	116.631	116.651	116.619	116.746	116.666	116.759	116.729	116.722	116.653	116.754	116.636	2016_7_19_17_04_06
FLQS31FWGRWY____	-65.858	-65.682	-65.824	-65.580	-65.450	-65.616	-65.512	-65.614	-65.650	-65.583	-65.766	-65.588	-65.580	-65.685	-65.920	-65.546	-65.862	-65.656	-65.549	-65.655	-65.552	-65.511	-65.583	-65.411	-65.849	-65.583	-65.682	-65.818	-65.744	-65.602	-65.866	-65.568	131.396	131.218	131.362	131.224	131.222	131.083	131.223	131.082	131.123	130.990	131.240	131.198	131.224	131.116	131.294	131.153	131.164	131.197	131.080	131.196	131.021	131.256	131.153	131.049	131.222	131.119	130.915	131.369	131.152	131.255	131.204	131.293	116.600	116.570	116.594	116.533	116.488	116.570	116.510	116.570	116.575	116.575	116.595	116.540	116.533	116.589	116.639	116.534	116.642	116.564	116.547	116.564	116.559	116.503	116.547	116.505	116.627	116.553	116.623	116.591	116.603	116.535	116.636	116.517	2016_7_19_17_04_06
FLQS31CRGRWY____	-66.162	-66.014	-66.126	-65.878	-65.785	-65.915	-65.845	-65.944	-65.942	-65.911	-66.065	-65.882	-65.878	-65.986	-66.254	-65.845	-66.199	-65.986	-65.883	-65.985	-65.847	-65.849	-65.882	-65.711	-66.152	-65.881	-65.977	-66.150	-66.077	-65.934	-66.197	-65.902	131.234	131.059	131.200	131.067	131.067	130.926	131.022	130.922	130.962	130.828	131.083	131.037	131.067	130.958	131.131	130.996	131.002	131.041	130.923	131.040	130.827	131.055	130.997	130.890	131.060	130.961	130.718	131.165	130.993	131.096	131.002	131.131	116.763	116.742	116.757	116.694	116.661	116.731	116.690	116.742	116.735	116.747	116.756	116.700	116.694	116.751	116.813	116.695	116.817	116.736	116.721	116.736	116.725	116.686	116.708	116.667	116.791	116.713	116.790	116.771	116.776	116.708	116.816	116.691	2016_7_19_17_04_06
FLQS319LGRWY____	-65.927	-65.788	-65.893	-65.648	-65.524	-65.686	-65.612	-65.690	-65.721	-65.658	-65.835	-65.659	-65.648	-65.725	-65.987	-65.611	-65.927	-65.728	-65.650	-65.727	-65.625	-65.610	-65.647	-65.480	-65.949	-65.646	-65.756	-65.888	-65.815	-65.672	-65.932	-65.638	131.341	131.155	131.304	131.160	131.153	131.013	131.162	131.016	131.049	130.912	131.182	131.130	131.160	131.053	131.232	131.094	131.146	131.129	131.019	131.125	130.917	131.192	131.094	130.978	131.161	131.058	130.810	131.271	131.088	131.193	131.145	131.230	116.725	116.709	116.720	116.659	116.617	116.698	116.646	116.699	116.704	116.706	116.721	116.669	116.659	116.705	116.765	116.658	116.759	116.693	116.685	116.693	116.694	116.640	116.671	116.633	116.764	116.676	116.758	116.724	116.730	116.662	116.761	116.644	2016_7_19_17_04_06
FLQS319HGRWY____	-65.679	-65.535	-65.643	-65.392	-65.302	-65.427	-65.362	-65.469	-65.469	-65.438	-65.623	-65.409	-65.392	-65.502	-65.776	-65.360	-65.716	-65.509	-65.394	-65.511	-65.409	-65.387	-65.398	-65.259	-65.705	-65.398	-65.504	-65.673	-65.637	-65.458	-65.720	-65.422	131.470	131.293	131.434	131.297	131.290	131.155	131.295	131.155	131.194	131.054	131.272	131.269	131.297	131.189	131.359	131.225	131.235	131.269	131.154	131.266	131.059	131.328	131.224	131.119	131.293	131.190	130.949	131.398	131.221	131.325	131.272	131.363	116.454	116.435	116.448	116.384	116.354	116.421	116.374	116.436	116.429	116.443	116.469	116.395	116.384	116.442	116.508	116.386	116.508	116.430	116.410	116.432	116.432	116.377	116.399	116.369	116.494	116.405	116.484	116.465	116.483	116.403	116.504	116.383	2016_7_19_17_04_06
FLQS317CGRWY____	-65.779	-65.607	-65.713	-65.467	-65.380	-65.503	-65.434	-65.540	-65.540	-65.512	-65.699	-65.517	-65.467	-65.573	-65.852	-65.433	-65.790	-65.586	-65.468	-65.585	-65.482	-65.433	-65.470	-65.338	-65.812	-65.468	-65.576	-65.750	-65.709	-65.530	-65.796	-65.499	131.329	131.154	131.299	131.160	131.151	131.013	131.161	131.016	131.053	130.916	131.174	131.126	131.160	131.097	131.222	131.090	131.139	131.129	131.015	131.125	130.914	131.193	131.088	130.980	131.153	131.053	130.813	131.261	131.082	131.188	131.137	131.226	116.604	116.574	116.586	116.524	116.495	116.562	116.513	116.575	116.568	116.583	116.603	116.548	116.524	116.572	116.648	116.525	116.641	116.571	116.550	116.572	116.573	116.507	116.538	116.511	116.646	116.543	116.623	116.605	116.623	116.542	116.643	116.524	2016_7_19_17_04_06
FLQS3160GRWY____	-66.013	-65.866	-65.975	-65.726	-65.603	-65.759	-65.697	-65.798	-65.797	-65.768	-65.960	-65.738	-65.726	-65.836	-66.110	-65.695	-66.051	-65.806	-65.729	-65.842	-65.704	-65.695	-65.732	-65.557	-66.070	-65.729	-65.832	-66.008	-65.933	-65.789	-66.012	-65.760	131.300	131.081	131.224	131.087	131.083	130.946	131.088	130.944	130.985	130.852	131.061	131.056	131.087	130.981	131.150	131.018	131.024	131.097	130.943	131.058	130.846	131.118	131.018	130.908	131.038	130.983	130.745	131.186	131.012	131.114	131.023	131.150	116.549	116.536	116.549	116.486	116.444	116.522	116.476	116.536	116.529	116.542	116.572	116.496	116.486	116.543	116.609	116.487	116.611	116.512	116.512	116.532	116.520	116.470	116.500	116.458	116.615	116.505	116.583	116.567	116.571	116.503	116.597	116.487	2016_7_19_17_04_06
FLQS3126GRWV____	-66.145	-66.003	-66.108	-65.861	-65.770	-65.902	-65.828	-65.932	-65.930	-65.868	-66.049	-65.871	-65.861	-65.966	-66.198	-65.824	-66.187	-65.939	-65.868	-65.940	-65.875	-65.824	-65.861	-65.696	-66.162	-65.860	-65.966	-66.100	-66.027	-65.916	-66.146	-65.851	131.360	131.129	131.280	131.144	131.095	131.038	131.101	130.997	131.036	130.901	131.161	131.112	131.144	131.035	131.210	131.075	131.085	131.152	130.996	131.113	130.863	131.174	131.074	130.964	131.139	131.037	130.761	131.246	131.112	131.173	131.124	131.209	116.922	116.913	116.923	116.861	116.838	116.894	116.857	116.912	116.904	116.906	116.924	116.870	116.861	116.917	116.967	116.861	116.985	116.887	116.890	116.894	116.915	116.843	116.873	116.835	116.967	116.879	116.965	116.927	116.925	116.875	116.964	116.846	2016_7_19_17_04_07
FLQS3115GRWV____	-65.454	-65.317	-65.421	-65.173	-65.049	-65.213	-65.143	-65.249	-65.249	-65.216	-65.370	-65.189	-65.173	-65.284	-65.555	-65.139	-65.470	-65.257	-65.178	-65.256	-65.151	-65.138	-65.175	-65.010	-65.453	-65.173	-65.282	-65.421	-65.381	-65.201	-65.466	-65.167	131.536	131.354	131.505	131.415	131.364	131.221	131.414	131.218	131.256	131.122	131.386	131.331	131.415	131.260	131.432	131.298	131.348	131.335	131.186	131.330	131.121	131.402	131.298	131.184	131.362	131.261	131.014	131.469	131.289	131.395	131.345	131.431	116.429	116.413	116.423	116.352	116.318	116.400	116.342	116.413	116.406	116.418	116.426	116.372	116.352	116.418	116.483	116.360	116.467	116.395	116.394	116.396	116.396	116.342	116.373	116.335	116.459	116.379	116.460	116.429	116.447	116.365	116.467	116.347	2016_7_19_17_04_07
FLQS310RGRWV____	-65.929	-65.786	-65.894	-65.646	-65.522	-65.689	-65.614	-65.683	-65.717	-65.652	-65.833	-65.655	-65.646	-65.752	-65.987	-65.612	-65.931	-65.723	-65.649	-65.722	-65.621	-65.611	-65.648	-65.484	-65.918	-65.647	-65.718	-65.883	-65.813	-65.669	-65.931	-65.636	131.314	131.097	131.241	131.140	131.094	130.994	131.142	130.958	130.996	130.859	131.115	131.107	131.140	130.997	131.166	131.070	131.041	131.110	130.996	131.105	130.893	131.132	131.031	130.925	131.136	130.996	130.786	131.201	131.068	131.130	131.076	131.167	116.587	116.575	116.587	116.518	116.483	116.559	116.507	116.563	116.568	116.570	116.588	116.527	116.518	116.581	116.633	116.519	116.635	116.551	116.545	116.551	116.553	116.507	116.538	116.499	116.614	116.544	116.606	116.591	116.589	116.528	116.629	116.510	2016_7_19_17_04_07
FLQS3106GRWV____	-65.792	-65.654	-65.760	-65.513	-65.383	-65.555	-65.478	-65.585	-65.585	-65.520	-65.696	-65.523	-65.513	-65.618	-65.878	-65.477	-65.793	-65.593	-65.518	-65.590	-65.522	-65.471	-65.516	-65.348	-65.810	-65.516	-65.619	-65.747	-65.672	-65.530	-65.827	-65.529	131.422	131.238	131.429	131.247	131.239	131.098	131.247	131.100	131.134	131.037	131.267	131.215	131.247	131.137	131.312	131.175	131.187	131.215	131.099	131.212	130.999	131.276	131.174	131.066	131.245	131.137	130.901	131.349	131.172	131.278	131.228	131.308	116.383	116.367	116.370	116.316	116.272	116.356	116.304	116.367	116.361	116.355	116.376	116.325	116.316	116.372	116.432	116.316	116.424	116.349	116.343	116.349	116.362	116.296	116.329	116.290	116.420	116.336	116.414	116.380	116.384	116.316	116.429	116.311	2016_7_19_17_04_07
FLQS30ZQGRWV____	-65.946	-65.795	-65.912	-65.656	-65.563	-65.696	-65.630	-65.731	-65.734	-65.665	-65.852	-65.671	-65.656	-65.771	-66.040	-65.630	-66.023	-65.740	-65.662	-65.740	-65.670	-65.622	-65.666	-65.526	-65.970	-65.665	-65.768	-65.900	-65.865	-65.681	-65.985	-65.688	131.387	131.168	131.351	131.220	131.216	131.075	131.219	131.072	131.102	130.971	131.194	131.186	131.220	131.109	131.280	131.149	131.152	131.189	131.074	131.181	130.973	131.249	131.148	130.999	131.213	131.114	130.858	131.316	131.144	131.244	131.152	131.285	116.586	116.572	116.580	116.514	116.482	116.554	116.505	116.566	116.562	116.561	116.587	116.525	116.514	116.574	116.638	116.517	116.654	116.549	116.542	116.550	116.562	116.497	116.530	116.507	116.625	116.536	116.617	116.583	116.600	116.519	116.641	116.514	2016_7_19_17_04_07
FLQS30YUGRWV____	-65.864	-65.720	-65.831	-65.572	-65.454	-65.616	-65.544	-65.652	-65.651	-65.623	-65.770	-65.595	-65.572	-65.687	-65.956	-65.543	-65.869	-65.665	-65.580	-65.696	-65.562	-65.542	-65.579	-65.411	-65.885	-65.577	-65.689	-65.857	-65.784	-65.639	-65.868	-65.608	131.458	131.237	131.423	131.285	131.237	131.097	131.244	131.102	131.142	131.002	131.258	131.252	131.285	131.136	131.306	131.174	131.222	131.217	131.098	131.214	131.039	131.273	131.171	131.066	131.237	131.135	130.899	131.342	131.170	131.268	131.222	131.305	116.506	116.495	116.501	116.435	116.402	116.483	116.432	116.495	116.487	116.502	116.508	116.448	116.435	116.501	116.565	116.444	116.549	116.479	116.470	116.490	116.474	116.426	116.457	116.416	116.552	116.463	116.543	116.524	116.529	116.461	116.549	116.444	2016_7_19_17_04_07
FLQS30X6GRWY____	-65.733	-65.590	-65.696	-65.450	-65.319	-65.486	-65.417	-65.520	-65.522	-65.458	-65.641	-65.459	-65.450	-65.555	-65.796	-65.417	-65.738	-65.529	-65.452	-65.528	-65.424	-65.411	-65.455	-65.280	-65.755	-65.453	-65.557	-65.725	-65.617	-65.474	-65.742	-65.441	131.476	131.298	131.439	131.304	131.336	131.157	131.302	131.160	131.187	131.054	131.319	131.273	131.304	131.236	131.408	131.231	131.279	131.271	131.159	131.270	131.058	131.334	131.230	131.129	131.300	131.194	130.952	131.403	131.227	131.333	131.282	131.366	116.662	116.643	116.655	116.593	116.542	116.631	116.582	116.643	116.638	116.639	116.657	116.602	116.593	116.642	116.696	116.594	116.698	116.626	116.619	116.626	116.627	116.574	116.608	116.564	116.700	116.613	116.692	116.672	116.665	116.596	116.699	116.579	2016_7_19_17_04_07
FLQS30X6GRWV____	-65.935	-65.788	-65.901	-65.655	-65.524	-65.687	-65.621	-65.721	-65.721	-65.654	-65.842	-65.658	-65.655	-65.759	-65.999	-65.619	-65.945	-65.728	-65.657	-65.727	-65.623	-65.620	-65.655	-65.481	-65.956	-65.654	-65.753	-65.895	-65.856	-65.677	-65.938	-65.682	131.380	131.205	131.344	131.209	131.207	131.071	131.207	131.070	131.108	131.010	131.225	131.184	131.209	131.102	131.273	131.138	131.143	131.189	131.066	131.186	130.978	131.240	131.137	131.037	131.205	131.102	130.868	131.354	131.134	131.239	131.188	131.274	116.797	116.776	116.791	116.729	116.683	116.764	116.717	116.776	116.769	116.763	116.791	116.734	116.729	116.784	116.838	116.729	116.842	116.758	116.755	116.758	116.758	116.711	116.741	116.698	116.835	116.747	116.823	116.787	116.812	116.731	116.831	116.727	2016_7_19_17_04_07
FLQS30WFGRWV____	-65.629	-65.494	-65.596	-65.352	-65.232	-65.391	-65.314	-65.421	-65.423	-65.359	-65.530	-65.360	-65.352	-65.456	-65.718	-65.310	-65.628	-65.428	-65.353	-65.427	-65.326	-65.318	-65.348	-65.194	-65.616	-65.348	-65.453	-65.610	-65.542	-65.372	-65.632	-65.337	131.470	131.290	131.435	131.295	131.289	131.152	131.295	131.155	131.190	131.048	131.270	131.263	131.295	131.191	131.363	131.223	131.239	131.268	131.151	131.265	131.050	131.329	131.222	131.118	131.293	131.188	130.951	131.360	131.224	131.327	131.278	131.365	116.391	116.376	116.386	116.325	116.284	116.364	116.312	116.374	116.368	116.370	116.392	116.334	116.325	116.379	116.441	116.323	116.432	116.357	116.350	116.357	116.359	116.307	116.336	116.301	116.418	116.342	116.421	116.404	116.404	116.327	116.426	116.307	2016_7_19_17_04_08
FLQS30VBGRWV____	-66.070	-65.890	-66.035	-65.779	-65.658	-65.783	-65.716	-65.824	-65.828	-65.799	-65.934	-65.802	-65.779	-65.895	-66.164	-65.751	-66.077	-65.874	-65.788	-65.874	-65.768	-65.742	-65.788	-65.615	-66.094	-65.787	-65.901	-66.026	-65.992	-65.804	-66.075	-65.774	131.397	131.212	131.359	131.224	131.218	131.074	131.223	131.077	131.113	130.975	131.237	131.190	131.224	131.117	131.285	131.152	131.162	131.196	131.079	131.192	130.977	131.253	131.149	131.045	131.220	131.116	130.871	131.324	131.150	131.249	131.200	131.288	116.775	116.745	116.770	116.705	116.663	116.732	116.683	116.746	116.741	116.755	116.756	116.718	116.705	116.764	116.828	116.707	116.819	116.742	116.733	116.743	116.744	116.686	116.721	116.679	116.815	116.726	116.809	116.773	116.792	116.709	116.812	116.691	2016_7_19_17_04_08
