SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-55.618	-55.724	-55.578	-55.687	-55.725	-55.722	-55.599	-55.654	-55.618	-55.620	-55.573	-55.688	-55.618	-55.682	-55.618	-55.542	-55.618	-55.618	-55.582	-55.546	-55.614	-55.582	-55.573	-55.579	-55.653	-55.507	-55.470	-55.573	-55.501	-55.615	-55.579	-55.615	141.305	141.342	141.170	141.275	141.234	141.266	141.277	141.234	141.342	141.304	141.310	141.377	141.343	141.308	141.342	141.316	141.342	141.342	141.343	141.271	141.370	141.375	141.310	141.441	141.340	141.352	141.206	141.310	141.315	141.333	141.313	141.333	111.590	111.622	111.594	111.618	111.637	111.632	111.587	111.612	111.585	111.591	111.573	111.604	111.584	111.612	111.585	111.562	111.585	111.585	111.572	111.569	111.579	111.567	111.573	111.557	111.597	111.544	111.551	111.573	111.547	111.585	111.575	111.585	2016_7_19_17_08_22
FLQS30KBGRWV____	-55.813	-55.878	-55.740	-55.844	-55.883	-55.886	-55.773	-55.811	-55.776	-55.779	-55.740	-55.844	-55.774	-55.845	-55.776	-55.703	-55.776	-55.776	-55.738	-55.742	-55.774	-55.736	-55.740	-55.739	-55.811	-55.670	-55.637	-55.740	-55.671	-55.773	-55.735	-55.773	141.189	141.221	141.080	141.154	141.112	141.192	141.184	141.112	141.219	141.179	141.214	141.253	141.221	141.189	141.219	141.221	141.219	141.219	141.222	141.127	141.247	141.212	141.214	141.319	141.219	141.262	141.119	141.214	141.233	141.209	141.225	141.209	111.585	111.604	111.575	111.601	111.620	111.611	111.572	111.595	111.568	111.575	111.556	111.587	111.567	111.597	111.568	111.542	111.568	111.568	111.555	111.569	111.564	111.555	111.556	111.541	111.581	111.525	111.533	111.556	111.530	111.569	111.553	111.569	2016_7_19_17_08_22
FLQS30CWGRWV____	-55.698	-55.803	-55.667	-55.768	-55.790	-55.805	-55.695	-55.734	-55.700	-55.704	-55.662	-55.768	-55.700	-55.767	-55.700	-55.628	-55.700	-55.700	-55.664	-55.625	-55.696	-55.664	-55.662	-55.701	-55.735	-55.596	-55.565	-55.662	-55.591	-55.697	-55.659	-55.697	141.185	141.223	141.080	141.158	141.080	141.151	141.183	141.116	141.222	141.181	141.218	141.256	141.224	141.190	141.222	141.263	141.222	141.222	141.223	141.123	141.247	141.252	141.218	141.294	141.221	141.262	141.120	141.218	141.238	141.210	141.230	141.210	111.387	111.419	111.391	111.416	111.434	111.430	111.387	111.410	111.383	111.390	111.370	111.402	111.383	111.411	111.383	111.352	111.383	111.383	111.370	111.371	111.378	111.366	111.370	111.374	111.396	111.341	111.350	111.370	111.343	111.384	111.368	111.384	2016_7_19_17_08_23
FLQS30C7GRWV____	-55.768	-55.915	-55.737	-55.842	-55.863	-55.879	-55.812	-55.809	-55.811	-55.775	-55.772	-55.843	-55.812	-55.844	-55.811	-55.741	-55.811	-55.811	-55.777	-55.741	-55.773	-55.775	-55.772	-55.775	-55.809	-55.669	-55.635	-55.772	-55.671	-55.772	-55.774	-55.772	141.193	141.233	141.088	141.155	141.090	141.160	141.194	141.121	141.230	141.190	141.228	141.261	141.230	141.193	141.230	141.230	141.230	141.230	141.229	141.164	141.260	141.263	141.228	141.328	141.226	141.263	141.123	141.228	141.193	141.226	141.229	141.226	111.472	111.518	111.476	111.504	111.520	111.516	111.487	111.497	111.482	111.475	111.469	111.489	111.482	111.499	111.482	111.458	111.482	111.482	111.470	111.467	111.465	111.465	111.469	111.456	111.482	111.428	111.435	111.469	111.438	111.469	111.469	111.469	2016_7_19_17_08_23
FLQS29JFGRX5____	-55.706	-55.815	-55.672	-55.782	-55.824	-55.824	-55.705	-55.751	-55.714	-55.718	-55.675	-55.780	-55.708	-55.783	-55.714	-55.636	-55.714	-55.714	-55.672	-55.641	-55.705	-55.676	-55.675	-55.711	-55.744	-55.601	-55.567	-55.675	-55.607	-55.716	-55.671	-55.716	141.142	141.172	141.035	141.144	141.100	141.134	141.144	141.100	141.208	141.168	141.175	141.243	141.178	141.176	141.208	141.181	141.208	141.208	141.180	141.137	141.209	141.239	141.175	141.279	141.179	141.217	141.072	141.175	141.178	141.196	141.174	141.196	111.412	111.446	111.415	111.438	111.459	111.454	111.411	111.433	111.405	111.412	111.396	111.424	111.407	111.434	111.405	111.382	111.405	111.405	111.395	111.390	111.402	111.388	111.396	111.395	111.420	111.365	111.373	111.396	111.372	111.408	111.395	111.408	2016_7_19_17_08_23
FLQS22XEGRX2____	-55.775	-55.921	-55.746	-55.883	-55.916	-55.915	-55.779	-55.847	-55.816	-55.817	-55.779	-55.885	-55.817	-55.879	-55.816	-55.747	-55.816	-55.816	-55.782	-55.746	-55.770	-55.782	-55.779	-55.782	-55.850	-55.671	-55.680	-55.779	-55.706	-55.780	-55.779	-55.780	141.179	141.223	141.073	141.116	141.076	141.109	141.170	141.075	141.186	141.148	141.182	141.217	141.186	141.152	141.186	141.190	141.186	141.186	141.188	141.120	141.211	141.212	141.182	141.286	141.185	141.218	141.087	141.182	141.153	141.200	141.184	141.200	111.407	111.452	111.411	111.454	111.471	111.466	111.410	111.447	111.420	111.426	111.408	111.440	111.421	111.447	111.420	111.395	111.420	111.420	111.408	111.405	111.401	111.405	111.408	111.394	111.432	111.365	111.386	111.408	111.386	111.406	111.408	111.406	2016_7_19_17_08_23
FLQS22TQGRX2____	-55.893	-55.957	-55.823	-55.915	-55.974	-55.970	-55.856	-55.897	-55.900	-55.863	-55.856	-55.927	-55.853	-55.930	-55.900	-55.783	-55.900	-55.900	-55.817	-55.779	-55.893	-55.819	-55.856	-55.860	-55.889	-55.745	-55.715	-55.856	-55.747	-55.857	-55.815	-55.857	141.090	141.116	141.011	141.054	141.083	141.118	141.113	141.041	141.152	141.112	141.185	141.185	141.123	141.153	141.152	141.152	141.152	141.152	141.123	141.051	141.154	141.152	141.185	141.221	141.120	141.161	141.049	141.185	141.160	141.141	141.118	141.141	111.472	111.491	111.458	111.485	111.501	111.495	111.456	111.480	111.466	111.458	111.446	111.471	111.453	111.476	111.466	111.425	111.466	111.466	111.440	111.438	111.463	111.437	111.446	111.442	111.466	111.410	111.415	111.446	111.411	111.452	111.441	111.452	2016_7_19_17_08_23
FLQS21YXGRX2____	-55.535	-55.642	-55.542	-55.643	-55.678	-55.677	-55.575	-55.610	-55.578	-55.579	-55.542	-55.646	-55.578	-55.641	-55.578	-55.510	-55.578	-55.578	-55.544	-55.508	-55.575	-55.543	-55.542	-55.540	-55.611	-55.476	-55.441	-55.542	-55.473	-55.584	-55.538	-55.584	141.252	141.286	141.150	141.227	141.187	141.217	141.258	141.184	141.293	141.254	141.289	141.329	141.294	141.259	141.293	141.324	141.293	141.293	141.326	141.223	141.324	141.321	141.289	141.387	141.292	141.366	141.185	141.289	141.258	141.315	141.298	141.315	111.597	111.630	111.614	111.639	111.656	111.652	111.611	111.633	111.606	111.612	111.595	111.625	111.606	111.633	111.606	111.578	111.606	111.606	111.590	111.592	111.601	111.590	111.595	111.580	111.618	111.561	111.573	111.595	111.575	111.606	111.592	111.606	2016_7_19_17_08_23
FLQS2AVTGRX5____	-55.833	-55.941	-55.800	-55.907	-55.942	-55.950	-55.841	-55.873	-55.841	-55.837	-55.801	-55.906	-55.840	-55.911	-55.841	-55.764	-55.841	-55.841	-55.801	-55.764	-55.843	-55.803	-55.801	-55.802	-55.878	-55.732	-55.695	-55.801	-55.729	-55.831	-55.800	-55.831	141.136	141.170	141.035	141.101	141.064	141.131	141.160	141.061	141.202	141.136	141.171	141.204	141.207	141.167	141.202	141.175	141.202	141.202	141.172	141.104	141.227	141.204	141.171	141.276	141.201	141.208	141.069	141.171	141.140	141.169	141.171	141.169	111.497	111.530	111.500	111.528	111.545	111.539	111.497	111.522	111.491	111.499	111.481	111.513	111.490	111.520	111.491	111.468	111.491	111.491	111.481	111.477	111.488	111.477	111.481	111.467	111.504	111.452	111.458	111.481	111.460	111.492	111.481	111.492	2016_7_19_17_08_23
FLQS3087GRWV____	-55.751	-55.856	-55.719	-55.822	-55.858	-55.859	-55.714	-55.789	-55.749	-55.755	-55.713	-55.781	-55.752	-55.786	-55.749	-55.683	-55.749	-55.749	-55.717	-55.683	-55.743	-55.716	-55.713	-55.716	-55.782	-55.644	-55.615	-55.713	-55.647	-55.716	-55.712	-55.716	141.254	141.293	141.147	141.222	141.184	141.217	141.251	141.185	141.260	141.252	141.259	141.320	141.261	141.254	141.260	141.264	141.260	141.260	141.262	141.220	141.290	141.294	141.259	141.360	141.260	141.298	141.162	141.259	141.259	141.280	141.262	141.280	111.421	111.453	111.425	111.450	111.468	111.464	111.409	111.444	111.419	111.423	111.407	111.423	111.421	111.433	111.419	111.396	111.419	111.419	111.408	111.402	111.413	111.403	111.407	111.394	111.431	111.377	111.386	111.407	111.384	111.405	111.406	111.405	2016_7_19_17_08_23
FLQS2044GRWY____	-55.837	-55.948	-55.804	-55.912	-55.936	-55.952	-55.840	-55.956	-55.844	-55.848	-55.805	-55.948	-55.843	-55.912	-55.844	-55.772	-55.844	-55.844	-55.806	-55.772	-55.844	-55.845	-55.805	-55.847	-55.879	-55.736	-55.704	-55.805	-55.739	-55.849	-55.804	-55.849	141.133	141.204	141.026	141.139	141.057	141.126	141.165	141.103	141.203	141.162	141.196	141.208	141.205	141.170	141.203	141.202	141.203	141.203	141.204	141.130	141.229	141.233	141.196	141.276	141.203	141.284	141.098	141.196	141.170	141.231	141.244	141.231	111.721	111.750	111.724	111.746	111.766	111.762	111.717	111.766	111.713	111.720	111.701	111.749	111.713	111.742	111.713	111.688	111.713	111.713	111.700	111.698	111.710	111.710	111.701	111.704	111.726	111.664	111.679	111.701	111.681	111.711	111.694	111.711	2016_7_19_17_08_23
FLQS312SGRWV____	-55.554	-55.701	-55.525	-55.627	-55.666	-55.662	-55.553	-55.594	-55.559	-55.562	-55.522	-55.619	-55.600	-55.630	-55.559	-55.529	-55.559	-55.559	-55.564	-55.489	-55.560	-55.518	-55.522	-55.564	-55.583	-55.454	-55.422	-55.522	-55.453	-55.560	-55.518	-55.560	141.278	141.320	141.202	141.283	141.240	141.240	141.278	141.240	141.348	141.309	141.344	141.349	141.323	141.354	141.348	141.326	141.348	141.348	141.352	141.273	141.377	141.348	141.344	141.419	141.317	141.387	141.240	141.344	141.357	141.339	141.353	141.339	111.574	111.620	111.575	111.599	111.619	111.617	111.574	111.593	111.566	111.573	111.554	111.587	111.584	111.590	111.566	111.559	111.566	111.566	111.567	111.552	111.563	111.552	111.554	111.558	111.579	111.524	111.533	111.554	111.528	111.568	111.551	111.568	2016_7_19_17_08_23
FLQS31J6GRWY____	-55.697	-55.801	-55.658	-55.765	-55.803	-55.798	-55.689	-55.729	-55.695	-55.687	-55.650	-55.766	-55.737	-55.762	-55.695	-55.620	-55.695	-55.695	-55.656	-55.625	-55.676	-55.660	-55.650	-55.659	-55.719	-55.587	-55.552	-55.650	-55.579	-55.691	-55.654	-55.691	141.165	141.204	141.022	141.137	141.099	141.133	141.167	141.099	141.203	141.134	141.173	141.238	141.174	141.168	141.203	141.169	141.203	141.203	141.167	141.127	141.202	141.236	141.173	141.304	141.169	141.206	141.061	141.173	141.176	141.200	141.205	141.200	111.615	111.646	111.621	111.643	111.661	111.655	111.612	111.636	111.609	111.616	111.597	111.629	111.628	111.637	111.609	111.588	111.609	111.609	111.600	111.595	111.603	111.592	111.597	111.583	111.622	111.571	111.578	111.597	111.572	111.608	111.595	111.608	2016_7_19_17_08_14
FLQS31FWGRWY____	-55.754	-55.862	-55.721	-55.830	-55.862	-55.865	-55.763	-55.796	-55.760	-55.760	-55.723	-55.828	-55.757	-55.831	-55.760	-55.689	-55.760	-55.760	-55.725	-55.688	-55.761	-55.725	-55.723	-55.725	-55.794	-55.659	-55.622	-55.723	-55.661	-55.758	-55.723	-55.758	141.204	141.237	141.101	141.202	141.133	141.168	141.203	141.129	141.238	141.201	141.234	141.269	141.239	141.204	141.238	141.240	141.238	141.238	141.272	141.170	141.273	141.268	141.234	141.340	141.240	141.275	141.135	141.234	141.201	141.236	141.238	141.236	111.525	111.559	111.528	111.553	111.573	111.570	111.529	111.551	111.523	111.528	111.511	111.542	111.522	111.552	111.523	111.498	111.523	111.523	111.506	111.507	111.518	111.506	111.511	111.497	111.535	111.483	111.489	111.511	111.493	111.523	111.510	111.523	2016_7_19_17_08_14
